nombre,precio,potencia,certificacion,modular,pcf,link,imagen
Cooler Master MWE White 500 V2 (MPE-5001-ACABW-WO) (500 W),51.990,500 W,80PLUS,No,Sí,https://www.solotodo.com/products/77184-cooler-master-mwe-white-500-v2-mpe-5001-acabw-wo-500-w,https://s3.amazonaws.com/solotodo-core/media/cache/79/13/7913f8f7759bf406e611237ab1a48a39.png
Cooler Master MWE Bronze 550 (MPX-5501-ACAAB-WO) (550 W),50.900,550 W,80PLUS Bronze,No,Sí,https://www.solotodo.com/products/45234-cooler-master-mwe-bronze-550-mpx-5501-acaab-wo-550-w,https://s3.amazonaws.com/solotodo-core/media/cache/b8/ea/b8ea4dcc0de59010eb73eccf312bae17.png
EVGA 500 BR (100-BR-0500-K1) (500 W),53.990,500 W,80PLUS Bronze,No,Sí,https://www.solotodo.com/products/71787-evga-500-br-100-br-0500-k1-500-w,https://s3.amazonaws.com/solotodo-core/media/cache/29/df/29df4aaa5ed4279bfca96f60b542d530.png
EVGA 700W (100-W1-0700-K1) (700 W),54.280,700 W,80PLUS,No,Sí,https://www.solotodo.com/products/51474-evga-700w-100-w1-0700-k1-700-w,https://s3.amazonaws.com/solotodo-core/media/cache/43/7c/437cbe156673eabad8e7846a6e632692.png
Thermaltake SMART SP-650P (650 W),56.900,650 W,80PLUS Bronze,No,Sí,https://www.solotodo.com/products/11098-thermaltake-smart-sp-650p-650-w,https://s3.amazonaws.com/solotodo-core/media/cache/e2/fc/e2fc0a5c25ada5f983ecafc51648e664.png
EVGA 600 BR (100-BR-0600-K1) (600 W),59.900,600 W,80PLUS Bronze,No,Sí,https://www.solotodo.com/products/49103-evga-600-br-100-br-0600-k1-600-w,https://s3.amazonaws.com/solotodo-core/media/cache/ad/39/ad3976168a38f4f2ea1419fbecb4db47.png
Apevia Jupiter 600W (ATX-JP600W) (600 W),60.021,600 W,80PLUS Bronze,No,Sí,https://www.solotodo.com/products/72386-apevia-jupiter-600w-atx-jp600w-600-w,https://s3.amazonaws.com/solotodo-core/media/cache/4f/c8/4fc8e476bb871903d7f3a56e8c6f9861.png
Gamdias KRATOS M1-550B (550 W),59.990,550 W,80PLUS Bronze,No,Sí,https://www.solotodo.com/products/67334-gamdias-kratos-m1-550b-550-w,https://s3.amazonaws.com/solotodo-core/media/cache/b4/f8/b4f8b7ebe675bb618d0dd7d8e93c53d2.png
Riotoro Builder Edition 600W (PR-BFX600-NA) (600 W),60.990,600 W,80PLUS,No,Sí,https://www.solotodo.com/products/50323-riotoro-builder-edition-600w-pr-bfx600-na-600-w,https://s3.amazonaws.com/solotodo-core/media/cache/fa/03/fa03aba540b192d0a3dd34d4be8b46ff.png
EVGA 750 N1 (100-N1-0750-L1) (750 W),61.890,750 W,Sin certificación,No,Sí,https://www.solotodo.com/products/35088-evga-750-n1-100-n1-0750-l1-750-w,https://s3.amazonaws.com/solotodo-core/media/cache/e0/8c/e08c60dc0e0e5188b25899eb145d353e.png
DeepCool DA600 (600 W),61.990,600 W,80PLUS Bronze,No,Sí,https://www.solotodo.com/products/43019-deepcool-da600-600-w,https://s3.amazonaws.com/solotodo-core/media/cache/df/95/df95298a6332f576eef516979389a6b0.png
Cooler Master MWE Bronze 750 V2 (MPE-7501-ACAAB-WO) (750 W),62.990,750 W,80PLUS Bronze,No,Sí,https://www.solotodo.com/products/65526-cooler-master-mwe-bronze-750-v2-mpe-7501-acaab-wo-750-w,https://s3.amazonaws.com/solotodo-core/media/cache/8c/ee/8cee5908eb097a53a69e8bee640375f0.png
Apevia Signature ATX-SN900W (900 W),64.486,900 W,80PLUS Bronze,Sí,Sí,https://www.solotodo.com/products/76431-apevia-signature-atx-sn900w-900-w,https://s3.amazonaws.com/solotodo-core/media/cache/a0/5d/a05d28699536781c0698b8b48fe9d9de.png
EVGA 600B B1 (100-B1-0600-KR) (600 W),65.890,600 W,80PLUS Bronze,No,Sí,https://www.solotodo.com/products/12836-evga-600b-b1-100-b1-0600-kr-600-w,https://s3.amazonaws.com/solotodo-core/media/cache/9d/27/9d27ed66d4a67abcb4ddbfa130c7dc59.png
Gamemax GM-800 (800 W),66.263,800 W,80PLUS,Sí,Sí,https://www.solotodo.com/products/26812-gamemax-gm-800-800-w,https://s3.amazonaws.com/solotodo-core/media/cache/cb/26/cb261a9e155295f6746f56212db4e9f8.png
be quiet! System Power U9 700W (BN609) (700 W),66.491,700 W,80PLUS Bronze,No,Sí,https://www.solotodo.com/products/51022-be-quiet-system-power-u9-700w-bn609-700-w,https://s3.amazonaws.com/solotodo-core/media/cache/7d/f6/7df64b919994091d9d8d5f1d717cf41b.png
EVGA 550 GD (100-GD-0550-V1) (550 W),64.900,550 W,80PLUS Gold,No,Sí,https://www.solotodo.com/products/43661-evga-550-gd-100-gd-0550-v1-550-w,https://s3.amazonaws.com/solotodo-core/media/cache/79/4d/794d688ff66f42c07c48c35c6cb0bcce.png
