nombre,precio,socket,chipset,memorias,formato,tipomemoria,link,imagen
ASUS PRIME A320M-K,57900,AM4,AMD A320 (AM4),2x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/37082-asus-prime-a320m-k,https://s3.amazonaws.com/solotodo-core/media/cache/ad/20/ad20db9f1d86459b6003903a9bcb4bd7.png
ASRock H110M-DGS,58990,LGA 1151,Intel H110 (LGA 1151),2x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/37873-asrock-h110m-dgs,https://s3.amazonaws.com/solotodo-core/media/cache/73/75/73759987b502a142ee907b73eb5a7af6.png
Gigabyte H310M DS2,58890,LGA 1151-v2,Intel H310 (LGA 1151-v2),2x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/71804-gigabyte-h310m-ds2,https://s3.amazonaws.com/solotodo-core/media/cache/e5/a8/e5a8bb50a2ed77a89b4aec6f7c973b29.png
MSI A320M PRO-M2 V2,58976,AM4,AMD A320 (AM4),2x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/61163-msi-a320m-pro-m2-v2,https://s3.amazonaws.com/solotodo-core/media/cache/3e/a0/3ea035869a33f4c88668f34b74717b51.png
ASRock H310CM-HDV,57900,LGA 1151-v2,Intel H310 (LGA 1151-v2),2x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/58987-asrock-h310cm-hdv,https://s3.amazonaws.com/solotodo-core/media/cache/0e/67/0e67e6ba05a1e6f097a899d7793be2db.png
ASUS PRIME H310M-E R2.0,59490,LGA 1151-v2,Intel H310 (LGA 1151-v2),2x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/57194-asus-prime-h310m-e-r20,https://s3.amazonaws.com/solotodo-core/media/cache/9e/25/9e25ba2e1c600769865176a787dd21be.png
ASUS PRIME H310M-E,59690,LGA 1151-v2,Intel H310 (LGA 1151-v2),2x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/44204-asus-prime-h310m-e,https://s3.amazonaws.com/solotodo-core/media/cache/aa/06/aa06867ac71192c78cd7c731b9bb5a76.png
Gigabyte GA-A320M-H,59900,AM4,AMD A320 (AM4),2x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/71803-gigabyte-ga-a320m-h,https://s3.amazonaws.com/solotodo-core/media/cache/d3/a4/d3a441b59e60522bb2860669e4302ec5.png
ASUS H110M-D,59990,LGA 1151,Intel H110 (LGA 1151),2x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/26712-asus-h110m-d,https://s3.amazonaws.com/solotodo-core/media/cache/a1/25/a125322d0087d4f117c075479358e977.png
ASUS H87M-PLUS,59990,LGA 1150,Intel H87 (LGA 1150),4x DDR3,Micro ATX,DDR3,https://www.solotodo.com/products/10787-asus-h87m-plus,https://s3.amazonaws.com/solotodo-core/media/cache/f0/b1/f0b16c59e6782f9c65c67bd49d78c590.png
MSI A320M-A PRO MAX,59990,AM4,AMD A320 (AM4),2x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/75453-msi-a320m-a-pro-max,https://s3.amazonaws.com/solotodo-core/media/cache/48/a7/48a7e69cb2f8232dec7ee90512cb0474.png
MSI H310M PRO-VH,60990,LGA 1151-v2,Intel H310 (LGA 1151-v2),2x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/43863-msi-h310m-pro-vh,https://s3.amazonaws.com/solotodo-core/media/cache/7d/de/7ddec2d8ff73cb2c90aac7124abb14cf.png
MSI H310M PRO-M2 PLUS,62500,LGA 1151-v2,Intel H310 (LGA 1151-v2),2x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/56993-msi-h310m-pro-m2-plus,https://solotodo-core.s3.amazonaws.com/media/cache/78/b9/78b963f17b91db348147133b722f28e9.png
ASRock A320M-HDV,62990,AM4,AMD A320 (AM4),2x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/37083-asrock-a320m-hdv,https://s3.amazonaws.com/solotodo-core/media/cache/46/93/469330443e3ec5ce7acfb941dae54bd5.png
