nombre,precio,frecuencia,nucleos,socket,cache,arquitectura,link,imagen,Benchmark
Intel Core i5-9600KF,219990,3700 - 4600 MHz,6,LGA 1151-v2,6 x 256KB L2 / 9MB L3,Intel Coffee Lake R,https://www.solotodo.com/products/61825-intel-core-i5-9600kf-bx80684i59600kf,https://s3.amazonaws.com/solotodo-core/media/cache/11/4b/114b5b8aabf7ae8dfc4a607c376a4531.png,93.5
Intel Core i5-8600K,227990,3600 - 4300 MHz,6,LGA 1151-v2,6 x 256KB L2 / 9MB L3,Intel Coffee Lake S,https://www.solotodo.com/products/40159-intel-core-i5-8600k-bx80684i58600k,https://solotodo-core.s3.amazonaws.com/media/cache/56/fe/56fe9ad2cc03f89e23ee2ec426de8551.png,90.6
Intel Core i7-6700,229900,3400 - 4000 MHz,4,LGA 1151,4 x 256KB L2 / 8MB L3,Intel Skylake,https://www.solotodo.com/products/23453-intel-core-i7-6700-bx80662i76700,https://s3.amazonaws.com/solotodo-core/media/cache/99/ac/99ac38927a9c2ef8c88c90a436600ad8.png,69
Intel Core i5-8500,227900,3000 - 4100 MHz,6,LGA 1151-v2,6 x 256KB L2 / 9MB L3,Intel Coffee Lake S,https://www.solotodo.com/products/44671-intel-core-i5-8500-bx80684i58500,https://s3.amazonaws.com/solotodo-core/media/cache/f3/0e/f30e41fb0c74afeec51faaee5dcc5c9b.png,81.6
AMD Ryzen 5 3600X,235900,3800 - 4400 MHz,6,AM4,6 x 512KB L2 / 2 x 16MB L3,AMD Matisse,https://www.solotodo.com/products/63524-amd-ryzen-5-3600x-100-100000022box,https://s3.amazonaws.com/solotodo-core/media/cache/44/81/4481dcdf253124b5fcac817d4f2ec2cf.png,91.2
Intel Core i5-9600K,259900,3700 - 4600 MHz,6,LGA 1151-v2,6 x 256KB L2 / 9MB L3,Intel Coffee Lake R,https://www.solotodo.com/products/52283-intel-core-i5-9600k-bx80684i59600k,https://s3.amazonaws.com/solotodo-core/media/cache/11/4b/114b5b8aabf7ae8dfc4a607c376a4531.png,93.7
Intel Core i7-8700,300000,3200 - 4600 MHz,6,LGA 1151-v2,6 x 256KB L2 / 12MB L3,Intel Coffee Lake S,https://www.solotodo.com/products/40542-intel-core-i7-8700-bx80684i78700,https://s3.amazonaws.com/solotodo-core/media/cache/4a/8a/4a8a123344ed982eb68b2a4f1087a9d6.png,88.6
AMD Ryzen 7 3700X,336900,3600 - 4400 MHz,8,AM4,8 x 512KB L2 / 2 x 16MB L3,AMD Matisse,https://www.solotodo.com/products/63564-amd-ryzen-7-3700x-100-100000071box,https://s3.amazonaws.com/solotodo-core/media/cache/96/f5/96f593db3b9e683ffe07d307fde619ae.png,93.3
Intel Core i7-9700F,349990,3000 - 4700 MHz,8,LGA 1151-v2,8 x 256KB L2 / 8 x 2MB L3,Intel Coffee Lake R,https://www.solotodo.com/products/67133-intel-core-i7-9700f-bx80684i79700f,https://s3.amazonaws.com/solotodo-core/media/cache/d5/c9/d5c930d3801dc410c08491e4f78a6a85.png,93.8
Intel Core i7-7700,368990,3600 - 4200 MHz,4,LGA 1151,4 x 256KB L2 / 8MB L3,Intel Kaby Lake,https://www.solotodo.com/products/31102-intel-core-i7-7700-bx80677i77700,https://solotodo-core.s3.amazonaws.com/media/cache/d5/1a/d51a3e9e4381e19c9a7faa694e4b08db.png,75.7
AMD Ryzen 7 3800X,378000,3900 - 4500 MHz,8,AM4,8 x 512KB L2 / 2 x 16MB L3,AMD Matisse,https://www.solotodo.com/products/64470-amd-ryzen-7-3800x-100-100000025box,https://s3.amazonaws.com/solotodo-core/media/cache/96/f5/96f593db3b9e683ffe07d307fde619ae.png,94.6
Intel Core i7-9700,379990,3000 MHz,8,LGA 1151-v2,8 x 256KB L2 / 8 x 2MB L3,Intel Coffee Lake R,https://www.solotodo.com/products/63925-intel-core-i7-9700-bx80684i79700,https://s3.amazonaws.com/solotodo-core/media/cache/e8/47/e847280e7aa703458d4339afc20564b5.png,94.6
Intel Core i7-8700K,378900,3700 - 4700 MHz,6,LGA 1151-v2,6 x 256KB L2 / 12MB L3,Intel Coffee Lake S,https://www.solotodo.com/products/40543-intel-core-i7-8700k-bx80684i78700k,https://s3.amazonaws.com/solotodo-core/media/cache/25/27/25273de40aac02265b235e7fdf0fc5a2.png,93.2
Intel Core i7-9700KF,419990,3600 - 4900 MHz,8,LGA 1151-v2,8 x 256KB L2 / 8 x 2MB L3,Intel Coffee Lake R,https://www.solotodo.com/products/66943-intel-core-i7-9700kf-bx80684i79700kf,https://s3.amazonaws.com/solotodo-core/media/cache/79/4c/794cc6499d7ac71c699e7bb160568161.png,97.5
Intel Core i7-9700K,435900,3600 - 4900 MHz,8,LGA 1151-v2,8 x 256KB L2 / 8 x 2MB L3,Intel Coffee Lake R,https://www.solotodo.com/products/52787-intel-core-i7-9700k-bx80684i79700k,https://s3.amazonaws.com/solotodo-core/media/cache/79/4c/794cc6499d7ac71c699e7bb160568161.png,99.4
Intel Core i9-9900K,493991,3600 - 5000 MHz,8,LGA 1151-v2,8 x 256KB L2 / 8 x 2MB L3,Intel Coffee Lake R,https://www.solotodo.com/products/52663-intel-core-i9-9900k-bx80684i99900k,https://s3.amazonaws.com/solotodo-core/media/cache/a3/cd/a3cdd56a0b3bb6e0206268c884123485.png,98.9
Intel Core i9-9900KF,499990,3600 - 5000 MHz,8,LGA 1151-v2,8 x 256KB L2 / 8 x 2MB L3,Intel Coffee Lake R,https://www.solotodo.com/products/62646-intel-core-i9-9900kf-bx80684i99900kf,https://s3.amazonaws.com/solotodo-core/media/cache/ab/0a/ab0ab791b0828c2568bc5a767610f11c.png,100
AMD Ryzen 9 3900X,586990,3800 - 4600 MHz,12,AM4,12 x 512KB L2 / 4 x 16MB L3,AMD Matisse,https://www.solotodo.com/products/64117-amd-ryzen-9-3900x-100-100000023box,https://s3.amazonaws.com/solotodo-core/media/cache/7c/d7/7cd7de1357658f51385a02565348fb18.png,94.8
Intel Core i9-9900KS,599990,4000 - 5000 MHz,8,LGA 1151-v2,8 x 256KB L2 / 8 x 2MB L3,Intel Coffee Lake R,https://www.solotodo.com/products/69932-intel-core-i9-9900ks-bx80684i99900kss,https://s3.amazonaws.com/solotodo-core/media/cache/76/2a/762a2eabe6ce00f17e2de2bea582eccc.png,105
Intel Core i9-9900X,798912,3500 - 4400 MHz,10,LGA 2066,10 x 1MB L2 / 14 x 1MB L3,Intel Skylake-X,https://www.solotodo.com/products/65127-intel-core-i9-9900x-bx80673i99900x,https://s3.amazonaws.com/solotodo-core/media/cache/ca/27/ca27710dabdd373e9a332df1db78cb3f.png,88.8
AMD Ryzen 9 3950X,869990,3500 - 4700 MHz,16,AM4,16 x 512KB L2 / 4 x 16MB L3,AMD Matisse,https://www.solotodo.com/products/72391-amd-ryzen-9-3950x-100-100000051wof,https://solotodo-core.s3.amazonaws.com/media/cache/7c/d7/7cd7de1357658f51385a02565348fb18.png,94.8
Intel Core i9-7920X,1299990,2900 - 4400 MHz,12,LGA 2066,12 x 1MB L2 / 17MB L3,Intel Skylake-X,https://www.solotodo.com/products/43727-intel-core-i9-7920x-bx80673i97920x,https://s3.amazonaws.com/solotodo-core/media/cache/15/00/150091dad5566c81caea4459fe4324e7.png,85.9
Intel Core i9-7940X,1499990,3100 - 4400 MHz,14,LGA 2066,14 x 1MB L2 / 19MB L3,Intel Skylake-X,https://www.solotodo.com/products/44591-intel-core-i9-7940x-bx80673i97940x,https://s3.amazonaws.com/solotodo-core/media/cache/15/00/150091dad5566c81caea4459fe4324e7.png,87
Intel Core i9-7960X,1799990,2800 - 4400 MHz,16,LGA 2066,16 x 1MB L2 / 22MB L3,Intel Skylake-X,https://www.solotodo.com/products/43728-intel-core-i9-7960x-bx80673i97960x,https://s3.amazonaws.com/solotodo-core/media/cache/bc/33/bc33db697d812d4e903394e5db6089b6.png,85.1
Intel Core i9-9960X,1899990,3100 - 4400 MHz,16,LGA 2066,16 x 1MB L2 / 16 x 1MB L3,Intel Skylake-X,https://www.solotodo.com/products/71559-intel-core-i9-9960x-bx80673i99960x,https://s3.amazonaws.com/solotodo-core/media/cache/ca/27/ca27710dabdd373e9a332df1db78cb3f.png,88.8
