nombre,precio,formato,fuentepoder,ubfuente,panellateral,link,imagen
Corsair Carbide Series SPEC-04 - Black / Gray (CC-9011109-WW),39.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/40584-corsair-carbide-series-spec-04-black-gray-cc-9011109-ww,https://s3.amazonaws.com/solotodo-core/media/cache/7d/63/7d63e48014a9fdf464f395a87a8ea6b6.png
Aerocool Strike-X One,39.900,ATX,No posee,Inferior,Aluminio (Cubierto),https://www.solotodo.com/products/22373-aerocool-strike-x-one,https://s3.amazonaws.com/solotodo-core/media/cache/60/dc/60dc8d527fa017610a4fcd756c893cfe.png
Gamemax 9527,39.900,ATX,No posee,Inferior,Aluminio (Malla),https://www.solotodo.com/products/30527-gamemax-9527,https://s3.amazonaws.com/solotodo-core/media/cache/af/d7/afd78c482c135d165b8dc3112a26d51e.png
Thermaltake V3 AMD Edition (VL800P1W2N),39.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/8175-thermaltake-v3-amd-edition-vl800p1w2n,https://solotodo-core.s3.amazonaws.com/media/cache/b0/6b/b06b06208ec059a9a8a1c55dc5bf5583.png
PCYES VTI - Green,39.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/57661-pcyes-vti-green,https://s3.amazonaws.com/solotodo-core/media/cache/1f/f6/1ff655081903151be53c5372d3335089.png
Marvo CA-211,39.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/54676-marvo-ca-211,https://s3.amazonaws.com/solotodo-core/media/cache/c0/c5/c0c5ce0f5dd1b9fcc4019f7453a0bf17.png
Apexgaming A2 - Black,40.990,ATX,No posee,Inferior,Aluminio (Cubierto),https://www.solotodo.com/products/70002-apexgaming-a2-black,https://s3.amazonaws.com/solotodo-core/media/cache/df/e4/dfe4d92f9e942925ffabdb92554fecc2.png
Apexgaming A2 - White,40.990,ATX,No posee,Inferior,Aluminio (Cubierto),https://www.solotodo.com/products/70003-apexgaming-a2-white,https://s3.amazonaws.com/solotodo-core/media/cache/ac/98/ac98abcccffcdd2d522654775f598d57.png
DeepCool Tesseract WH SW,43.990,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/40582-deepcool-tesseract-wh-sw,https://s3.amazonaws.com/solotodo-core/media/cache/ae/05/ae05eaf51157cc89ec36c9f13d317c00.png
DeepCool Tesseract SW,44.990,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/27564-deepcool-tesseract-sw,https://s3.amazonaws.com/solotodo-core/media/cache/4e/d0/4ed0e4d0f54b9e6990c87b27523afdd0.png
DeepCool Tesseract SW RD,44.990,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/27566-deepcool-tesseract-sw-rd,https://s3.amazonaws.com/solotodo-core/media/cache/b8/03/b80324ecc309356ecee39d3884a6d1ae.png
Apexgaming Hermès S1,44.990,Extended ATX,No posee,Inferior,Aluminio (Cubierto),https://www.solotodo.com/products/70004-apexgaming-hermes-s1,https://s3.amazonaws.com/solotodo-core/media/cache/2b/56/2b56e67c468c20e725e906374bc9d39a.png
Thermaltake Commander MS-I Epic Edition (VN400A1W2N-B),44.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/5956-thermaltake-commander-ms-i-epic-edition-vn400a1w2n-b,https://s3.amazonaws.com/solotodo-core/media/cache/fd/84/fd84d558682f66b092bd121ed455ef32.png
Gamemax G539 Nexus RGB,44.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/73253-gamemax-g539-nexus-rgb,https://solotodo-core.s3.amazonaws.com/media/cache/67/16/6716834b81f6a8ab888c2cdb2b8da662.png
Riotoro CR280,46.448,Mini ITX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/30933-riotoro-cr280,https://s3.amazonaws.com/solotodo-core/media/cache/eb/5d/eb5dfd328d94ed85b09d3b125b8d5066.png
Cooler Master MasterBox MB520 - Red (MCB-B520-KANN-S00),46.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/52838-cooler-master-masterbox-mb520-red-mcb-b520-kann-s00,https://solotodo-core.s3.amazonaws.com/media/cache/4b/05/4b05f45fef9ea27c0b70349c52f86669.png
Gamemax 9536 G536,45.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/26815-gamemax-9536-g536,https://s3.amazonaws.com/solotodo-core/media/cache/67/59/6759f1294455f48158760a132e763eb1.png
Gamemax 9536 G536 Black,45.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/26835-gamemax-9536-g536-black,https://s3.amazonaws.com/solotodo-core/media/cache/3a/83/3a83628f404698d5918931ddbf7fda6b.png
Thermaltake Core V31 (CA-1C8-00M1WN-00),48.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/21721-thermaltake-core-v31-ca-1c8-00m1wn-00,https://s3.amazonaws.com/solotodo-core/media/cache/f1/b6/f1b64d90bd727634d90a12688037d53b.png
Riotoro CR400,49.014,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/59733-riotoro-cr400,https://solotodo-core.s3.amazonaws.com/media/cache/b2/b9/b2b98784fdd7b3dcb67a6974ee1d179b.png
Thermaltake LANBOX Lite VF6000BNS,49.900,Micro ATX,No posee,Superior,Aluminio (Cubierto),https://www.solotodo.com/products/21044-thermaltake-lanbox-lite-vf6000bns,https://s3.amazonaws.com/solotodo-core/media/cache/ab/71/ab71b56570b8288cdaec0e22e7df2a0d.png
DeepCool Matrexx 50 (DP-ATX-MATREXX50),49.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/64530-deepcool-matrexx-50-dp-atx-matrexx50,https://s3.amazonaws.com/solotodo-core/media/cache/6c/b0/6cb095d71700f0187c00618460448026.png
