nombre,precio,capacidad,formato,bus,link,imagen
Lexar NS100 480 GB,56990,480 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/65885-lexar-ns100-480-gb-lns100-480rbeu,https://s3.amazonaws.com/solotodo-core/media/cache/76/d9/76d92432da29f431d50788c1a2058a77.png
Kingston HyperX Fury 3D 480 GB,58500,480 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/66251-kingston-hyperx-fury-3d-480-gb-kc-s44480-6f,https://s3.amazonaws.com/solotodo-core/media/cache/bf/d0/bfd03efe8c04037e3634d00e0b96e6db.png
Crucial MX500 500 GB,63900,500 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/42561-crucial-mx500-500-gb-ct500mx500ssd1,https://solotodo-core.s3.amazonaws.com/media/cache/0a/65/0a65b04f8e23c04f80e2debda0cde6df.png
Biostar S120 512 GB,59900,512 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/72790-biostar-s120-512-gb-s120-512,https://s3.amazonaws.com/solotodo-core/media/cache/0a/65/0a65b04f8e23c04f80e2debda0cde6df.png
Team T-Force Cardea 240 GB,62605,240 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/45544-team-t-force-cardea-240-gb-tm8fp2240g0c110,https://s3.amazonaws.com/solotodo-core/media/cache/65/6a/656a96ea9c8cea25881d70b820450c06.png
Western Digital Blue 3D NAND 500 GB,63880,500 GB,M.2,SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/43981-western-digital-blue-3d-nand-500-gb-wds500g2b0b,https://s3.amazonaws.com/solotodo-core/media/cache/b6/b7/b6b79e02f06fc768378c05ad9277b1a4.png
Western Digital Blue 500 GB,63900,500 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/30413-western-digital-blue-500-gb-wds500g1b0a,https://s3.amazonaws.com/solotodo-core/media/cache/22/d3/22d303a78270d73652354a2f1f72cc51.png
Kingston UV500 480 GB,62900,480 GB,M.2,SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/44907-kingston-uv500-480-gb-suv500m8480g,https://s3.amazonaws.com/solotodo-core/media/cache/c9/1a/c91a1ba250e1f896bef15b4fa86664a8.png
Transcend 256 GB,64990,256 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/58237-transcend-256-gb-ts256gmte220s,https://s3.amazonaws.com/solotodo-core/media/cache/7d/12/7d1291880f0de61f8c5cd83764f85252.png
A-DATA XPG Spectrix S40G RGB 256 GB,65664,256 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/65396-a-data-xpg-spectrix-s40g-rgb-256-gb-as40g-256gt-c,https://s3.amazonaws.com/solotodo-core/media/cache/46/fc/46fc0dd765d2406579ccf0cc4f9eeda5.png
Crucial P1 500 GB,66900,500 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/54774-crucial-p1-500-gb-ct500p1ssd8,https://s3.amazonaws.com/solotodo-core/media/cache/44/e9/44e9f325beadc5529a521c462021b6b3.png
Western Digital Black SN750 250 GB,69920,250 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/58682-western-digital-black-sn750-250-gb-wds250g3x0c,https://solotodo-core.s3.amazonaws.com/media/cache/76/bf/76bfd85f6cbba7352d1880c8c0b06648.png
A-DATA Ultimate SU800 512 GB,69990,512 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/33911-a-data-ultimate-su800-512-gb-asu800ss-512gt-c,https://s3.amazonaws.com/solotodo-core/media/cache/eb/51/eb5189a7c161d536ef028370b1d63718.png
A-DATA XPG SX6000 Lite 512 GB,71990,512 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/60814-a-data-xpg-sx6000-lite-512-gb-asx6000lnp-512gt-c,https://s3.amazonaws.com/solotodo-core/media/cache/e5/d0/e5d03ced6d95e377fc5dc9e7b8441ca0.png
Seagate Barracuda 500 GB,79990,500 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/72548-seagate-barracuda-500-gb-za500cm10002,https://s3.amazonaws.com/solotodo-core/media/cache/4c/94/4c9465110e633f88f6d6c6d63f72d39b.png
Gigabyte Aorus RGB 256 GB,72990,256 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/61282-gigabyte-aorus-rgb-256-gb-gp-asm2ne2256gttdr,https://s3.amazonaws.com/solotodo-core/media/cache/c1/84/c184b73ff12fb78a9a313bababb3f9a0.png
Kingston HyperX Fury RGB 480 GB,74784,480 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/51726-kingston-hyperx-fury-rgb-480-gb-shfr200480g,https://s3.amazonaws.com/solotodo-core/media/cache/45/bc/45bc4672769d23afc519f627db07ab46.png
Kingston KC2000 250 GB,75990,250 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/62011-kingston-kc2000-250-gb-skc2000m8250g,https://s3.amazonaws.com/solotodo-core/media/cache/19/ff/19ff178e42f26e761edcee48b3400f7e.png
Western Digital Blue SN550 500 GB,76990,500 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/71319-western-digital-blue-sn550-500-gb-wds500g2b0c,https://s3.amazonaws.com/solotodo-core/media/cache/53/f2/53f23788049538a26585c31e5dbee543.png
Western Digital Black 250 GB,79990,250 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/49614-western-digital-black-250-gb-wds250g2x0c,https://s3.amazonaws.com/solotodo-core/media/cache/f0/b5/f0b5129aa31e850ace46d5ce41207454.png
Samsung 860 EVO 250 GB,80028,250 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/42795-samsung-860-evo-250-gb-mz-76e250e,https://s3.amazonaws.com/solotodo-core/media/cache/c7/48/c74849511b6845b27e69af61122c659c.png
Samsung 970 Evo Plus 250 GB,81648,250 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/57861-samsung-970-evo-plus-250-gb-mz-v7s250bam,https://s3.amazonaws.com/solotodo-core/media/cache/18/2d/182d6588b03d3da7684255cfb4d5e9ab.png
Kingston SSDNow UV400 240 GB,84363,240 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/26189-kingston-ssdnow-uv400-240-gb-suv400s37240g,https://s3.amazonaws.com/solotodo-core/media/cache/8f/62/8f6215184c0aab35c4cc6b4c16eb8d60.png
Team T-Force Delta S RGB 500 GB,85900,500 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/54580-team-t-force-delta-s-rgb-500-gb-t253tr500g3c312,https://s3.amazonaws.com/solotodo-core/media/cache/d2/a1/d2a16882a14c32528b376d10649f9a82.png
A-DATA XPG Spectrix S40G RGB 512 GB,86336,512 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/65394-a-data-xpg-spectrix-s40g-rgb-512-gb-as40g-512gt-c,https://s3.amazonaws.com/solotodo-core/media/cache/ba/ff/baff842f58898e4ce6458d771166d4df.png
Samsung 860 EVO 500 GB,87900,500 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/42794-samsung-860-evo-500-gb-mz-76e500bam,https://s3.amazonaws.com/solotodo-core/media/cache/0c/e5/0ce50508b3ea753f96802e534b07dcb5.png
Intel 545S 512 GB,89098,512 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/42081-intel-545s-512-gb-ssdsc2kw512g8x1,https://s3.amazonaws.com/solotodo-core/media/cache/06/0d/060d54f43b72ca1e81f63f279b00ac9d.png
Kingston A2000 500 GB,88990,500 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/65076-kingston-a2000-500-gb-sa2000m8500g,https://s3.amazonaws.com/solotodo-core/media/cache/cc/d1/ccd1cd72eb22e44512f0adf5866e1f42.png
Crucial BX500 960 GB,86900,960 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/58073-crucial-bx500-960-gb-ct960bx500ssd1,https://s3.amazonaws.com/solotodo-core/media/cache/ab/c1/abc106c0d27899efd3d6cafe6f901062.png
Mushkin Source 2 960 GB,86900,960 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/71034-mushkin-source-2-960-gb-mknssds2960gb,https://solotodo-core.s3.amazonaws.com/media/cache/0c/20/0c203f3053029d5760fe84e2d6e321af.png
Kingston KC600 512 GB,89900,512 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/68883-kingston-kc600-512-gb-skc600512g,https://s3.amazonaws.com/solotodo-core/media/cache/e5/d0/e5d03ced6d95e377fc5dc9e7b8441ca0.png
