nombre,precio,gpu,memoria,frecuencias,bus,link,imagen
Gigabyte GeForce RTX 2060 OC (rev. 2.0) (GV-N2060OC-6GD),379.990,NVIDIA GeForce RTX 2060,6 GB GDDR6 (192 bit),1755 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/57894-gigabyte-geforce-rtx-2060-oc-rev-20-gv-n2060oc-6gd,https://s3.amazonaws.com/solotodo-core/media/cache/f2/c9/f2c9f7300017b494184296af903d438c.png
ASUS TUF-RTX2060-O6G-GAMING,379.990,NVIDIA GeForce RTX 2060,6 GB GDDR6 (192 bit),1365 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/59228-asus-tuf-rtx2060-o6g-gaming,https://solotodo-core.s3.amazonaws.com/media/cache/b8/51/b8512ba75d25cbf99276be46a8f7d96c.png
Galax RTX 2060 (1-Click OC) (26NRL7HPX7OC),379.990,NVIDIA GeForce RTX 2060,6 GB GDDR6 (192 bit),1365 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/69355-galax-rtx-2060-1-click-oc-26nrl7hpx7oc,https://s3.amazonaws.com/solotodo-core/media/cache/7d/f3/7df39975eb94022c0969a8a01c021519.png
EVGA Geforce RTX 2060 KO (06G-P4-2068-KR),389.900,NVIDIA GeForce RTX 2060,6 GB GDDR6 (192 bit),1365 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/74961-evga-geforce-rtx-2060-ko-06g-p4-2068-kr,https://s3.amazonaws.com/solotodo-core/media/cache/2d/8d/2d8db20d1e7a6de22a1ef6d1cf6bfee1.png
ASRock Radeon RX 5700 Challenger D 8G OC (RX5700 CLD 8GO),389.900,AMD Radeon RX 5700,8 GB GDDR6 (256 bit),1515 MHz core / 1750 MHz memorias,PCI Express 4.0 x16,https://www.solotodo.com/products/75871-asrock-radeon-rx-5700-challenger-d-8g-oc-rx5700-cld-8go,https://s3.amazonaws.com/solotodo-core/media/cache/e4/8b/e48b1d5dc20a1d113bd6ea5eb43ea204.png
EVGA GeForce GTX 1070 GAMING (08G-P4-6171-KR),379.900,NVIDIA GeForce GTX 1070,8 GB GDDR5 (256 bit),1506 MHz core / 2000 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/27217-evga-geforce-gtx-1070-gaming-08g-p4-6171-kr,https://s3.amazonaws.com/solotodo-core/media/cache/e6/eb/e6ebef336208831fe7b9a1472e445b44.png
EVGA GTX 1070 (08G-P4-6173-KR),380.900,NVIDIA GeForce GTX 1070,8 GB GDDR5 (256 bit),1594 MHz core / 2002 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/26813-evga-gtx-1070-08g-p4-6173-kr,https://s3.amazonaws.com/solotodo-core/media/cache/b3/5b/b35bd461a139f8246a070f9d5eedd985.png
MSI Radeon RX 5700 MECH OC,392.990,AMD Radeon RX 5700,8 GB GDDR6 (256 bit),1515 MHz core / 1750 MHz memorias,PCI Express 4.0 x16,https://www.solotodo.com/products/71013-msi-radeon-rx-5700-mech-oc,https://solotodo-core.s3.amazonaws.com/media/cache/5d/af/5dafbe9de398f742d67177bb1d2fc9d4.png
ASUS TURBO-RTX2060-6G,396.036,NVIDIA GeForce RTX 2060,6 GB GDDR6 (192 bit),1365 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/77518-asus-turbo-rtx2060-6g,https://s3.amazonaws.com/solotodo-core/media/cache/4b/76/4b76380ac91b3cefb6caa541bf387389.png
EVGA GeForce GTX 980 Ti SC+ GAMING ACX 2.0+ (06G-P4-4995-KR),399.900,NVIDIA GeForce GTX 980 Ti,6 GB GDDR5 (384 bit),1102 MHz core / 1753 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/26130-evga-geforce-gtx-980-ti-sc-gaming-acx-20-06g-p4-4995-kr,https://s3.amazonaws.com/solotodo-core/media/cache/a1/ad/a1ad399211c3aaf31c58f615d105e32a.png
