nombre,precio,gpu,memoria,frecuencias,bus,link,imagen
HP Quadro P2000 (1ME41AA),621.376,NVIDIA Quadro P2000,5.0 GB GDDR5 (160 bit),1370 MHz core / 2002 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/66154-hp-quadro-p2000-1me41aa,https://s3.amazonaws.com/solotodo-core/media/cache/97/08/970867aeeffbc00e09eeca2486cb983b.png
EVGA GeForce RTX 2070 SUPER BLACK GAMING (08G-P4-3071-KR),628.064,NVIDIA GeForce RTX 2070 Super,8 GB GDDR6 (256 bit),1605 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/66388-evga-geforce-rtx-2070-super-black-gaming-08g-p4-3071-kr,https://s3.amazonaws.com/solotodo-core/media/cache/7c/0d/7c0d545852ac19fd77a37d2356747ffd.png
ASUS ROG-STRIX-RTX2070S-A8G-GAMING (90YV0DI1-MTAA00),663.690,NVIDIA GeForce RTX 2070 Super,8 GB GDDR6 (256 bit),1605 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/67144-asus-rog-strix-rtx2070s-a8g-gaming-90yv0di1-mtaa00,https://s3.amazonaws.com/solotodo-core/media/cache/1d/d9/1dd9cbaea044837ef5df9caa199a945e.png
Gigabyte AORUS GeForce RTX 2070 SUPER 8G (GV-N207SAORUS-8GC),714.990,NVIDIA GeForce RTX 2070 Super,8 GB GDDR6 (256 bit),1905 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/70311-gigabyte-aorus-geforce-rtx-2070-super-8g-gv-n207saorus-8gc,https://solotodo-core.s3.amazonaws.com/media/cache/76/88/7688d8806d366a7b4f33ad133f953eec.png
EVGA GeForce RTX 2070 SUPER FTW3 GAMING (08G-P4-3273-KR),737.900,NVIDIA GeForce RTX 2070 Super,8 GB GDDR6 (256 bit),1605 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/76200-evga-geforce-rtx-2070-super-ftw3-gaming-08g-p4-3273-kr,https://s3.amazonaws.com/solotodo-core/media/cache/fa/c8/fac847ee2421a282f2d460456598ccec.png
MSI GeForce RTX 2080 VENTUS 8G OC,739.936,NVIDIA GeForce RTX 2080,8 GB GDDR6 (256 bit),1515 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/51686-msi-geforce-rtx-2080-ventus-8g-oc,https://s3.amazonaws.com/solotodo-core/media/cache/15/5c/155c2eca4ad97c93f3814d47689c4930.png
Zotac GAMING GeForce RTX 2080 SUPER AMP (ZT-T20820D-10P),749.990,NVIDIA GeForce RTX 2080 Super,8 GB GDDR6 (256 bit),1650 MHz core / 1938 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/64469-zotac-gaming-geforce-rtx-2080-super-amp-zt-t20820d-10p,https://s3.amazonaws.com/solotodo-core/media/cache/da/a1/daa130666ccbe3b6592710a4ce29b84f.png
Gigabyte GeForce RTX 2080 SUPER TURBO 8G (GV-N208STURBO-8GC),775.086,NVIDIA GeForce RTX 2080 Super,8 GB GDDR6 (256 bit),1815 MHz core / 1938 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/64543-gigabyte-geforce-rtx-2080-super-turbo-8g-gv-n208sturbo-8gc,https://s3.amazonaws.com/solotodo-core/media/cache/60/57/6057e4495cc89705a9d2bc05bb589a4c.png
MSI GeForce RTX 2080 SUPER VENTUS XS OC,799.990,NVIDIA GeForce RTX 2080 Super,8 GB GDDR6 (256 bit),1650 MHz core / 1938 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/71759-msi-geforce-rtx-2080-super-ventus-xs-oc,https://s3.amazonaws.com/solotodo-core/media/cache/06/41/0641c01ecf2f0fe77ab3806e5d6a3f5c.png
MSI GeForce RTX 2080 SUPER GAMING X TRIO,819.990,NVIDIA GeForce RTX 2080 Super,8 GB GDDR6 (256 bit),1650 MHz core / 1938 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/65450-msi-geforce-rtx-2080-super-gaming-x-trio,https://s3.amazonaws.com/solotodo-core/media/cache/ce/55/ce554e95d089d8d231ee9a8d9bb97cc5.png
MSI GeForce RTX 2080 SUPER VENTUS OC,820.373,NVIDIA GeForce RTX 2080 Super,8 GB GDDR6 (256 bit),1650 MHz core / 1938 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/70022-msi-geforce-rtx-2080-super-ventus-oc,https://s3.amazonaws.com/solotodo-core/media/cache/ae/3b/ae3beae572b5570fc5e1ca40432c212d.png
Galax GeForce RTX 2080 Super EX (1-Click OC) (28ISL6MDU9EX),824.990,NVIDIA GeForce RTX 2080 Super,8 GB GDDR6 (256 bit),1845 MHz core / 1938 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/69798-galax-geforce-rtx-2080-super-ex-1-click-oc-28isl6mdu9ex,https://s3.amazonaws.com/solotodo-core/media/cache/74/36/7436c9c961622044de503fa203de93a8.png
EVGA GeForce RTX 2080 SUPER BLACK GAMING (08G-P4-3081-KR),835.900,NVIDIA GeForce RTX 2080 Super,8 GB GDDR6 (256 bit),1650 MHz core / 1938 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/66540-evga-geforce-rtx-2080-super-black-gaming-08g-p4-3081-kr,https://s3.amazonaws.com/solotodo-core/media/cache/19/e5/19e5007ffc186f594fd8e63fe93ad4d2.png
PNY Quadro P4000 (VCQP4000-ESPPB),849.990,NVIDIA Quadro P4000,8 GB GDDR5 (256 bit),1227 MHz core / 1502 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/64481-pny-quadro-p4000-vcqp4000-esppb,https://s3.amazonaws.com/solotodo-core/media/cache/74/30/7430b47b6a8cd5d3cbcbeb590c674719.png
Gigabyte GeForce RTX 2080 SUPER GAMING OC 8G (GV-N208SGAMING OC-8GC),864.990,NVIDIA GeForce RTX 2080 Super,8 GB GDDR6 (256 bit),1845 MHz core / 1938 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/64539-gigabyte-geforce-rtx-2080-super-gaming-oc-8g-gv-n208sgaming-oc-8gc,https://s3.amazonaws.com/solotodo-core/media/cache/2c/08/2c08a2fa6740d70186aa7cb4eaad8f8b.png
ASUS ROG-STRIX-RTX2080S-A8G-GAMING,894.990,NVIDIA GeForce RTX 2080 Super,8 GB GDDR6 (256 bit),1650 MHz core / 1938 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/67539-asus-rog-strix-rtx2080s-a8g-gaming,https://s3.amazonaws.com/solotodo-core/media/cache/b4/18/b41848451605310e8be6c445d5ed7c2f.png
Gigabyte GeForce RTX 2080 SUPER WINDFORCE OC 8G (GV-N208SWF3OC-8GD),939.990,NVIDIA GeForce RTX 2080 Super,8 GB GDDR6 (256 bit),1830 MHz core / 1938 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/66414-gigabyte-geforce-rtx-2080-super-windforce-oc-8g-gv-n208swf3oc-8gd,https://s3.amazonaws.com/solotodo-core/media/cache/3a/09/3a0934555fa7e48661ccaddbc0905d9e.png
Gigabyte AORUS GeForce RTX 2080 SUPER WATERFORCE WB 8G (GV-N208SAORUS WB-8GC),997.590,NVIDIA GeForce RTX 2080 Super,8 GB GDDR6 (256 bit),1860 MHz core / 1938 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/71153-gigabyte-aorus-geforce-rtx-2080-super-waterforce-wb-8g-gv-n208saorus-wb-8gc,https://s3.amazonaws.com/solotodo-core/media/cache/1e/5e/1e5e7fac54cfce51c7d90c9475c5d099.png
Gigabyte GeForce RTX 2080 Ti GAMING 11G (GV-N208TGAMING OC-11GC),1.399.900,NVIDIA GeForce RTX 2080 Ti,11 GB GDDR6 (352 bit),1545 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/74141-gigabyte-geforce-rtx-2080-ti-gaming-11g-gv-n208tgaming-oc-11gc,https://s3.amazonaws.com/solotodo-core/media/cache/92/48/92485137bc0ae4c2274207be012dccb1.png
MSI GeForce RTX 2080 TI GAMING X TRIO,1.399.990,NVIDIA GeForce RTX 2080 Ti,11 GB GDDR6 (352 bit),1350 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/52237-msi-geforce-rtx-2080-ti-gaming-x-trio,https://s3.amazonaws.com/solotodo-core/media/cache/27/92/2792647e2a5cdc5f582ca07f3c67e63e.png
Zotac GAMING GeForce RTX 2080 Ti AMP MAXX (ZT-T20810H-10P),1.399.990,NVIDIA GeForce RTX 2080 Ti,11 GB GDDR6 (352 bit),1350 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/67604-zotac-gaming-geforce-rtx-2080-ti-amp-maxx-zt-t20810h-10p,https://s3.amazonaws.com/solotodo-core/media/cache/3c/db/3cdb830c1ceeca564c056fd54b271422.png
ASUS ROG-STRIX-RTX2080TI-11G-GAMING,1.429.900,NVIDIA GeForce RTX 2080 Ti,11 GB GDDR6 (352 bit),1350 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/57073-asus-rog-strix-rtx2080ti-11g-gaming,https://s3.amazonaws.com/solotodo-core/media/cache/b8/b0/b8b07802c10e6c1989ae3e8df229d89e.png
EVGA GeForce RTX 2080 Ti BLACK EDITION GAMING (11G-P4-2281-KR),1.432.591,NVIDIA GeForce RTX 2080 Ti,11 GB GDDR6 (352 bit),1350 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/58322-evga-geforce-rtx-2080-ti-black-edition-gaming-11g-p4-2281-kr,https://s3.amazonaws.com/solotodo-core/media/cache/84/30/84301a4e25e3351e96591497af26c4a6.png
Galax RTX 2080Ti HOF (28IULBUCV6DH),1.449.990,NVIDIA GeForce RTX 2080 Ti,11 GB GDDR6 (352 bit),1350 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/69333-galax-rtx-2080ti-hof-28iulbucv6dh,https://s3.amazonaws.com/solotodo-core/media/cache/7e/c6/7ec6edaa672a5428fb18d378291fe8c3.png
