nombre,precio,capacidad,tipo,frecuencia,formato,voltaje,link,imagen
Corsair Vengeance LPX CMK4GX4M1A2400C14 (1 x 4GB | DIMM DDR4-2400),21890,1 x 4GB,DDR4,2400 MHz,DIMM,1.20 V,https://www.solotodo.com/products/39966-corsair-vengeance-lpx-cmk4gx4m1a2400c14-1-x-4gb-dimm-ddr4-2400,https://s3.amazonaws.com/solotodo-core/media/cache/db/ba/dbba979c97f8e1d7707ee33c8aeb83c9.png
Crucial CT25664AC667 (1 x 2GB | SO-DIMM DDR2-667),21990,1 x 2GB,DDR2,667 MHz,SO-DIMM,1.80 V,https://www.solotodo.com/products/9416-crucial-ct25664ac667-1-x-2gb-so-dimm-ddr2-667,https://s3.amazonaws.com/solotodo-core/media/cache/77/9f/779f0bfe14cb854d999a8abcdbac08a8.png
G.Skill (1 x 4GB | DIMM DDR3-1333),21990,1 x 4GB,DDR3,1333 MHz,DIMM,1.50 V,https://www.solotodo.com/products/7413-gskill-1-x-4gb-dimm-ddr3-1333,https://s3.amazonaws.com/solotodo-core/media/cache/b6/fd/b6fd5ac0fecd52bd110c7041f3cc9701.png
Crucial CT4G4SFS824A (1 x 4GB | SO-DIMM DDR4-2400),21990,1 x 4GB,DDR4,2400 MHz,SO-DIMM,1.20 V,https://www.solotodo.com/products/42289-crucial-ct4g4sfs824a-1-x-4gb-so-dimm-ddr4-2400,https://s3.amazonaws.com/solotodo-core/media/cache/1e/3a/1e3a70e20cc97b522b1002158b8b33a0.png
Kingston KCP424NS6/4 (1 x 4GB | DIMM DDR4-2400),22384,1 x 4GB,DDR4,2400 MHz,DIMM,1.20 V,https://www.solotodo.com/products/42105-kingston-kcp424ns64-1-x-4gb-dimm-ddr4-2400,https://s3.amazonaws.com/solotodo-core/media/cache/1a/4b/1a4bf1452fa36abab278bfe68a415a16.png
Kingston KVR24S17S6/4 (1 x 4GB | SO-DIMM DDR4-2400),22490,1 x 4GB,DDR4,2400 MHz,SO-DIMM,1.20 V,https://www.solotodo.com/products/42290-kingston-kvr24s17s64-1-x-4gb-so-dimm-ddr4-2400,https://s3.amazonaws.com/solotodo-core/media/cache/2d/4e/2d4eacb02e724eceb3d8a888338b512a.png
Kingston KCP316NS8/4 (1 x 4GB | DIMM DDR3-1600),22828,1 x 4GB,DDR3,1600 MHz,DIMM,1.50 V,https://www.solotodo.com/products/25260-kingston-kcp316ns84-1-x-4gb-dimm-ddr3-1600,https://s3.amazonaws.com/solotodo-core/media/cache/34/37/3437f02c0493357d5091439ef33de82f.png
Kingston KVR24S17S8/4 (1 x 4GB | SO-DIMM DDR4-2400),22900,1 x 4GB,DDR4,2400 MHz,SO-DIMM,1.20 V,https://www.solotodo.com/products/37321-kingston-kvr24s17s84-1-x-4gb-so-dimm-ddr4-2400,https://s3.amazonaws.com/solotodo-core/media/cache/b4/89/b48910f3c8066b48ea04e9e05e8ec575.png
Crucial CT51264BF160B (1 x 4GB | SO-DIMM DDR3-1600),22900,1 x 4GB,DDR3,1600 MHz,SO-DIMM,1.35 V,https://www.solotodo.com/products/9412-crucial-ct51264bf160b-1-x-4gb-so-dimm-ddr3-1600,https://s3.amazonaws.com/solotodo-core/media/cache/34/37/3437f02c0493357d5091439ef33de82f.png
Team Elite TED34G1333C9-S01 (1 x 4GB | SO-DIMM DDR3-1333),22990,1 x 4GB,DDR3,1333 MHz,SO-DIMM,1.50 V,https://www.solotodo.com/products/64124-team-elite-ted34g1333c9-s01-1-x-4gb-so-dimm-ddr3-1333,https://s3.amazonaws.com/solotodo-core/media/cache/8d/78/8d78e9b2af0ff35aa0cc3c984c9a77ce.png
G.Skill F3-10666CL9S-4GBSQ (1 x 4GB | SO-DIMM DDR3-1333),22990,1 x 4GB,DDR3,1333 MHz,SO-DIMM,1.50 V,https://www.solotodo.com/products/6860-gskill-f3-10666cl9s-4gbsq-1-x-4gb-so-dimm-ddr3-1333,https://solotodo-core.s3.amazonaws.com/media/cache/62/7b/627b85ff054427a57908ec2fabb47ccd.png
