nombre,precio,capacidad,tipo,frecuencia,formato,voltaje,link,imagen
Kingston KVR26S19S8/8 (1 x 8GB | SO-DIMM DDR4-2666),37088,1 x 8GB,DDR4,2666 MHz,SO-DIMM,1.20 V,https://www.solotodo.com/products/46568-kingston-kvr26s19s88-1-x-8gb-so-dimm-ddr4-2666,https://s3.amazonaws.com/solotodo-core/media/cache/63/4a/634a6049c7dcefc4383b384c78ecaa82.png
Crucial CT102464BF160B (1 x 8GB | SO-DIMM DDR3-1600),38304,1 x 8GB,DDR3,1600 MHz,SO-DIMM,1.35 V,https://www.solotodo.com/products/10399-crucial-ct102464bf160b-1-x-8gb-so-dimm-ddr3-1600,https://s3.amazonaws.com/solotodo-core/media/cache/61/47/614718e59da51348c49cbcdb471e6301.png
Kingston KCP424NS8/8 (1 x 8GB | DIMM DDR4-2400),38900,1 x 8GB,DDR4,2400 MHz,DIMM,1.20 V,https://www.solotodo.com/products/40039-kingston-kcp424ns88-1-x-8gb-dimm-ddr4-2400,https://s3.amazonaws.com/solotodo-core/media/cache/3a/a9/3aa99e1d8ae43e77f935691805bb75c4.png
Kingston KVR1333D3N9/8G (1 x 8GB | DIMM DDR3-1333),38900,1 x 8GB,DDR3,1333 MHz,DIMM,1.50 V,https://www.solotodo.com/products/6776-kingston-kvr1333d3n98g-1-x-8gb-dimm-ddr3-1333,https://s3.amazonaws.com/solotodo-core/media/cache/72/9f/729f17d71e27108277fb764c933f2fe4.png
Crucial CT8G4DFS824A (1 x 8GB | DIMM DDR4-2400),38990,1 x 8GB,DDR4,2400 MHz,DIMM,1.20 V,https://www.solotodo.com/products/43017-crucial-ct8g4dfs824a-1-x-8gb-dimm-ddr4-2400,https://s3.amazonaws.com/solotodo-core/media/cache/2d/4e/2d4eacb02e724eceb3d8a888338b512a.png
Kingston KVR24N17S8/8 (1 x 8GB | DIMM DDR4-2400),37900,1 x 8GB,DDR4,2400 MHz,DIMM,1.20 V,https://www.solotodo.com/products/27443-kingston-kvr24n17s88-1-x-8gb-dimm-ddr4-2400,https://s3.amazonaws.com/solotodo-core/media/cache/54/81/5481c613679e201017a948e39e2fc562.png
Crucial Ballistix Sport LT BLS8G4D26BFSEK (1 x 8GB | DIMM DDR4-2666),37900,1 x 8GB,DDR4,2666 MHz,DIMM,1.20 V,https://www.solotodo.com/products/51644-crucial-ballistix-sport-lt-bls8g4d26bfsek-1-x-8gb-dimm-ddr4-2666,https://s3.amazonaws.com/solotodo-core/media/cache/db/bf/dbbf19f4d414945ee7a99baa965e3a5d.png
Corsair CMV8GX4M1A2400C16 (1 x 8GB | DIMM DDR4-2400),39005,1 x 8GB,DDR4,2400 MHz,DIMM,1.20 V,https://www.solotodo.com/products/39964-corsair-cmv8gx4m1a2400c16-1-x-8gb-dimm-ddr4-2400,https://s3.amazonaws.com/solotodo-core/media/cache/9c/67/9c67cce6fca0e9fd1546761d52301ccc.png
Kingston KVR16LN11/8 (1 x 8GB | DIMM DDR3-1600),38912,1 x 8GB,DDR3,1600 MHz,DIMM,1.35 V,https://www.solotodo.com/products/20265-kingston-kvr16ln118-1-x-8gb-dimm-ddr3-1600,https://s3.amazonaws.com/solotodo-core/media/cache/24/4f/244f95b91dd59fa2250bb4cc3d3e37ec.png
Crucial MAC (2 x 2GB | SO-DIMM DDR2-667),39088,2 x 2GB,DDR2,667 MHz,SO-DIMM,1.80 V,https://www.solotodo.com/products/62033-crucial-mac-2-x-2gb-so-dimm-ddr2-667,https://solotodo-core.s3.amazonaws.com/media/cache/e5/76/e576a52ebe1a10bb23e6403f80caa3dd.png
Kingston KVR26N19S8/8 (1 x 8GB | DIMM DDR4-2666),39900,1 x 8GB,DDR4,2666 MHz,DIMM,1.20 V,https://www.solotodo.com/products/43835-kingston-kvr26n19s88-1-x-8gb-dimm-ddr4-2666,https://s3.amazonaws.com/solotodo-core/media/cache/ce/2d/ce2d51681392a419f508eccb50312cd4.png
A-DATA AD4U2133J4G15-S (1 x 4GB | DIMM DDR4-2133),39900,1 x 4GB,DDR4,2133 MHz,DIMM,1.20 V,https://www.solotodo.com/products/42746-a-data-ad4u2133j4g15-s-1-x-4gb-dimm-ddr4-2133,https://s3.amazonaws.com/solotodo-core/media/cache/79/50/795022b1c4862d7ba19b393f69463ea2.png
Kingston KCP426SS8/8 (1 x 8GB | SO-DIMM DDR4-2666),39990,1 x 8GB,DDR4,2666 MHz,SO-DIMM,1.20 V,https://www.solotodo.com/products/51818-kingston-kcp426ss88-1-x-8gb-so-dimm-ddr4-2666,https://s3.amazonaws.com/solotodo-core/media/cache/e4/10/e410a14cc6387e15db249a844269bdf9.png
Kingston HyperX Fury Black HX426C16FB3/8 (1 x 8GB | DIMM DDR4-2666),39990,1 x 8GB,DDR4,2666 MHz,DIMM,1.20 V,https://www.solotodo.com/products/66417-kingston-hyperx-fury-black-hx426c16fb38-1-x-8gb-dimm-ddr4-2666,https://s3.amazonaws.com/solotodo-core/media/cache/fe/b1/feb1303f3ca967e70e367be02fa108c0.png
Corsair Vengeance CMZ8GX3M1A1600C9 (1 x 8GB | DIMM DDR3-1600),39990,1 x 8GB,DDR3,1600 MHz,DIMM,1.50 V,https://www.solotodo.com/products/6547-corsair-vengeance-cmz8gx3m1a1600c9-1-x-8gb-dimm-ddr3-1600,https://s3.amazonaws.com/solotodo-core/media/cache/c2/a7/c2a769c6427440238a00301c826fb0a9.png
GeIL Evo Potenza GAPR48GB2666C19SC (1 x 8GB | DIMM DDR4-2666),40900,1 x 8GB,DDR4,2666 MHz,DIMM,1.35 V,https://www.solotodo.com/products/63454-geil-evo-potenza-gapr48gb2666c19sc-1-x-8gb-dimm-ddr4-2666,https://s3.amazonaws.com/solotodo-core/media/cache/46/51/4651f18ef94ba71aa22f25fe9c7ee76e.png
Corsair Vengeance LPX CMK8GX4M1A2666C16 (1 x 8GB | DIMM DDR4-2666),39900,1 x 8GB,DDR4,2666 MHz,DIMM,1.20 V,https://www.solotodo.com/products/46712-corsair-vengeance-lpx-cmk8gx4m1a2666c16-1-x-8gb-dimm-ddr4-2666,https://solotodo-core.s3.amazonaws.com/media/cache/ea/13/ea13585f9d0d8459cea94aea3d217389.png
G.Skill Value F4-2666C19S-8GNT (1 x 8GB | DIMM DDR4-2666),40990,1 x 8GB,DDR4,2666 MHz,DIMM,1.20 V,https://www.solotodo.com/products/57935-gskill-value-f4-2666c19s-8gnt-1-x-8gb-dimm-ddr4-2666,https://s3.amazonaws.com/solotodo-core/media/cache/00/d6/00d6ca6ec612d314c61b5551b85336f0.png
Kingston KVR1333D3S9/8G (1 x 8GB | SO-DIMM DDR3-1333),40990,1 x 8GB,DDR3,1333 MHz,SO-DIMM,1.50 V,https://www.solotodo.com/products/4908-kingston-kvr1333d3s98g-1-x-8gb-so-dimm-ddr3-1333,https://s3.amazonaws.com/solotodo-core/media/cache/bb/11/bb1175eb64ef3dbac5987b8f403294d5.png
Corsair CMSO8GX3M1A1333C9 (1 x 8GB | SO-DIMM DDR3-1333),40990,1 x 8GB,DDR3,1333 MHz,SO-DIMM,1.50 V,https://www.solotodo.com/products/4433-corsair-cmso8gx3m1a1333c9-1-x-8gb-so-dimm-ddr3-1333,https://s3.amazonaws.com/solotodo-core/media/cache/f4/91/f491139c602d7f1554caf2c3072be607.png
Crucial Ballistix Sport LT BLS8G4D30AESBK (1 x 8GB | DIMM DDR4-3000),40990,1 x 8GB,DDR4,3000 MHz,DIMM,1.35 V,https://www.solotodo.com/products/56881-crucial-ballistix-sport-lt-bls8g4d30aesbk-1-x-8gb-dimm-ddr4-3000,https://solotodo-core.s3.amazonaws.com/media/cache/dd/d8/ddd8abe0e6f7844b0df97bbf5538f95f.png
Crucial Ballistix Sport LT BLS8G4D30AESCK (1 x 8GB | DIMM DDR4-3000),40990,1 x 8GB,DDR4,3000 MHz,DIMM,1.35 V,https://www.solotodo.com/products/59846-crucial-ballistix-sport-lt-bls8g4d30aesck-1-x-8gb-dimm-ddr4-3000,https://s3.amazonaws.com/solotodo-core/media/cache/99/9f/999fa0f2bd420e5c5c70b18f398c5c4b.png
Kingston HyperX Fury Black HX424C15FB3/8 (1 x 8GB | DIMM DDR4-2400),41109,1 x 8GB,DDR4,2400 MHz,DIMM,1.20 V,https://www.solotodo.com/products/67115-kingston-hyperx-fury-black-hx424c15fb38-1-x-8gb-dimm-ddr4-2400,https://solotodo-core.s3.amazonaws.com/media/cache/62/5e/625e147d11c26310a7a931bf7e29fe09.png
GeIL Evo Potenza GPR48GB2666C19S (1 x 8GB | DIMM DDR4-2666),41900,1 x 8GB,DDR4,2666 MHz,DIMM,1.20 V,https://www.solotodo.com/products/59210-geil-evo-potenza-gpr48gb2666c19s-1-x-8gb-dimm-ddr4-2666,https://s3.amazonaws.com/solotodo-core/media/cache/9d/25/9d2503e4f96e6b6ab24d6e76a877fef0.png
Kingston HyperX Fury Black HX430C15FB3/8 (1 x 8GB | DIMM DDR4-3000),41970,1 x 8GB,DDR4,3000 MHz,DIMM,1.35 V,https://www.solotodo.com/products/71233-kingston-hyperx-fury-black-hx430c15fb38-1-x-8gb-dimm-ddr4-3000,https://solotodo-core.s3.amazonaws.com/media/cache/46/51/4651f18ef94ba71aa22f25fe9c7ee76e.png
Kingston KVR24S17S8/8 (1 x 8GB | SO-DIMM DDR4-2400),41990,1 x 8GB,DDR4,2400 MHz,SO-DIMM,1.20 V,https://www.solotodo.com/products/37323-kingston-kvr24s17s88-1-x-8gb-so-dimm-ddr4-2400,https://s3.amazonaws.com/solotodo-core/media/cache/1b/53/1b53b89afc204c35312ffac7be72af4d.png
Crucial CT102464BD160B (1 x 8GB | DIMM DDR3-1600),41990,1 x 8GB,DDR3,1600 MHz,DIMM,1.35 V,https://www.solotodo.com/products/27163-crucial-ct102464bd160b-1-x-8gb-dimm-ddr3-1600,https://s3.amazonaws.com/solotodo-core/media/cache/90/5b/905b12753abcd6eec94c4f08b0daf3f3.png
Kingston KCP3L16SD8/8 (1 x 8GB | SO-DIMM DDR3-1600),42900,1 x 8GB,DDR3,1600 MHz,SO-DIMM,1.35 V,https://www.solotodo.com/products/24619-kingston-kcp3l16sd88-1-x-8gb-so-dimm-ddr3-1600,https://s3.amazonaws.com/solotodo-core/media/cache/34/37/3437f02c0493357d5091439ef33de82f.png
A-DATA AD4U240038G17-S (1 x 8GB | DIMM DDR4-2400),42900,1 x 8GB,DDR4,2400 MHz,DIMM,1.20 V,https://www.solotodo.com/products/40032-a-data-ad4u240038g17-s-1-x-8gb-dimm-ddr4-2400,https://s3.amazonaws.com/solotodo-core/media/cache/a5/7e/a57e1a12daec9d1df1289cee923ac55f.png
A-DATA XPG Spectrix D41 AX4U300038G16-SR41 (1 x 8GB | DIMM DDR4-3000),42780,1 x 8GB,DDR4,3000 MHz,DIMM,1.35 V,https://www.solotodo.com/products/65319-a-data-xpg-spectrix-d41-ax4u300038g16-sr41-1-x-8gb-dimm-ddr4-3000,https://s3.amazonaws.com/solotodo-core/media/cache/00/c8/00c828200a49d8841586ce4380418e90.png
Team Elite TED48G2666C1901 (1 x 8GB | DIMM DDR4-2666),42990,1 x 8GB,DDR4,2666 MHz,DIMM,1.20 V,https://www.solotodo.com/products/65497-team-elite-ted48g2666c1901-1-x-8gb-dimm-ddr4-2666,https://s3.amazonaws.com/solotodo-core/media/cache/49/80/4980c19f2a233819a7ba3844ac2c79f2.png
G.Skill RipjawsV F4-2800C17S-8GVR (1 x 8GB | DIMM DDR4-2800),42990,1 x 8GB,DDR4,2800 MHz,DIMM,1.20 V,https://www.solotodo.com/products/42854-gskill-ripjawsv-f4-2800c17s-8gvr-1-x-8gb-dimm-ddr4-2800,https://s3.amazonaws.com/solotodo-core/media/cache/75/05/750501faff55eed557bc61c899045ab5.png
G.Skill RipjawsX F3-1600C10S-8GSQ (1 x 8GB | SO-DIMM DDR3-1600),42990,1 x 8GB,DDR3,1600 MHz,SO-DIMM,1.50 V,https://www.solotodo.com/products/7851-gskill-ripjawsx-f3-1600c10s-8gsq-1-x-8gb-so-dimm-ddr3-1600,https://s3.amazonaws.com/solotodo-core/media/cache/c9/32/c93201b60c4ef02950ed3f1d1614f687.png
Kingston KCP316SD8/8 (1 x 8GB | SO-DIMM DDR3-1600),43168,1 x 8GB,DDR3,1600 MHz,SO-DIMM,1.50 V,https://www.solotodo.com/products/25339-kingston-kcp316sd88-1-x-8gb-so-dimm-ddr3-1600,https://s3.amazonaws.com/solotodo-core/media/cache/8a/8b/8a8b4941513f22baca9ba9c9f46bf829.png
A-DATA ADDS1600W8G11-S (1 x 8GB | SO-DIMM DDR3-1600),43820,1 x 8GB,DDR3,1600 MHz,SO-DIMM,1.35 V,https://www.solotodo.com/products/29800-a-data-adds1600w8g11-s-1-x-8gb-so-dimm-ddr3-1600,https://s3.amazonaws.com/solotodo-core/media/cache/4e/0f/4e0f8d03705e5ca667f4c2ff6164556c.png
Kingston HyperX Impact HX424S14IB2/8 (1 x 8GB | SO-DIMM DDR4-2400),42900,1 x 8GB,DDR4,2400 MHz,SO-DIMM,1.20 V,https://www.solotodo.com/products/68724-kingston-hyperx-impact-hx424s14ib28-1-x-8gb-so-dimm-ddr4-2400,https://s3.amazonaws.com/solotodo-core/media/cache/ed/a4/eda4983f823a70688a5cae64cc8e1238.png
Kingston HyperX Predator HX430C15PB3/8 (1 x 8GB | DIMM DDR4-3000),44880,1 x 8GB,DDR4,3000 MHz,DIMM,1.35 V,https://www.solotodo.com/products/42592-kingston-hyperx-predator-hx430c15pb38-1-x-8gb-dimm-ddr4-3000,https://s3.amazonaws.com/solotodo-core/media/cache/00/42/0042855b293d37a259cb9158248e045f.png
Crucial CT8G4S24AM (1 x 8GB | SO-DIMM DDR4-2400),44880,1 x 8GB,DDR4,2400 MHz,SO-DIMM,1.20 V,https://www.solotodo.com/products/39967-crucial-ct8g4s24am-1-x-8gb-so-dimm-ddr4-2400,https://s3.amazonaws.com/solotodo-core/media/cache/d5/3b/d53bbfda858cc37ec31058dc6930ceb7.png
Crucial Ballistix Sport AT BLS8G4D32AESTK (1 x 8GB | DIMM DDR4-3200),44900,1 x 8GB,DDR4,3200 MHz,DIMM,1.35 V,https://www.solotodo.com/products/70010-crucial-ballistix-sport-at-bls8g4d32aestk-1-x-8gb-dimm-ddr4-3200,https://s3.amazonaws.com/solotodo-core/media/cache/9a/4f/9a4f4d65f74b12db768ec1ecd8b6de59.png
Corsair CMSO8GX3M1C1600C11 (1 x 8GB | SO-DIMM DDR3-1600),44990,1 x 8GB,DDR3,1600 MHz,SO-DIMM,1.35 V,https://www.solotodo.com/products/31343-corsair-cmso8gx3m1c1600c11-1-x-8gb-so-dimm-ddr3-1600,https://s3.amazonaws.com/solotodo-core/media/cache/3f/49/3f49b8b8ce93269d8cfb5183331330c6.png
Kingston KVR16LS11/8 (1 x 8GB | SO-DIMM DDR3-1600),44992,1 x 8GB,DDR3,1600 MHz,SO-DIMM,1.35 V,https://www.solotodo.com/products/13919-kingston-kvr16ls118-1-x-8gb-so-dimm-ddr3-1600,https://s3.amazonaws.com/solotodo-core/media/cache/d9/83/d983252240311aef69a41bcc2c91c299.png
A-DATA XPG Spectrix D80 AX4U300038G16A-SR80 (1 x 8GB | DIMM DDR4-3000),44990,1 x 8GB,DDR4,3000 MHz,DIMM,1.35 V,https://www.solotodo.com/products/65398-a-data-xpg-spectrix-d80-ax4u300038g16a-sr80-1-x-8gb-dimm-ddr4-3000,https://s3.amazonaws.com/solotodo-core/media/cache/15/c4/15c4199c2b06906a048a19d2866aaf48.png
Kingston HyperX Fury RGB HX424C15FB3A/8 (1 x 8GB | DIMM DDR4-2400),45420,1 x 8GB,DDR4,2400 MHz,DIMM,1.20 V,https://www.solotodo.com/products/67381-kingston-hyperx-fury-rgb-hx424c15fb3a8-1-x-8gb-dimm-ddr4-2400,https://s3.amazonaws.com/solotodo-core/media/cache/a9/5c/a95c3030462098dac4f2d1c5985caff1.png
Kingston KCP316ND8/8 (1 x 8GB | DIMM DDR3-1600),45600,1 x 8GB,DDR3,1600 MHz,DIMM,1.50 V,https://www.solotodo.com/products/25042-kingston-kcp316nd88-1-x-8gb-dimm-ddr3-1600,https://solotodo-core.s3.amazonaws.com/media/cache/80/22/8022bcce2abee17af757019ba31af871.png
A-DATA XPG Gammix D30 AX4U300038G16A-SR30 (1 x 8GB | DIMM DDR4-3000),45600,1 x 8GB,DDR4,3000 MHz,DIMM,1.35 V,https://www.solotodo.com/products/65322-a-data-xpg-gammix-d30-ax4u300038g16a-sr30-1-x-8gb-dimm-ddr4-3000,https://s3.amazonaws.com/solotodo-core/media/cache/e1/ce/e1ce6a7e4f783ede2c18e80bfa1d2c51.png
HP V6 7EH64AA (1 x 8GB | DIMM DDR4-3000),45900,1 x 8GB,DDR4,3000 MHz,DIMM,1.20 V,https://www.solotodo.com/products/75852-hp-v6-7eh64aa-1-x-8gb-dimm-ddr4-3000,https://s3.amazonaws.com/solotodo-core/media/cache/b8/0f/b80f6f560460d8490329ad4833661c2d.png
Kingston HyperX Fury Black HX432C16FB3/8 (1 x 8GB | DIMM DDR4-3200),45990,1 x 8GB,DDR4,3200 MHz,DIMM,1.35 V,https://www.solotodo.com/products/66626-kingston-hyperx-fury-black-hx432c16fb38-1-x-8gb-dimm-ddr4-3200,https://s3.amazonaws.com/solotodo-core/media/cache/b4/89/b48910f3c8066b48ea04e9e05e8ec575.png
GeIL Super Luce RGB GALS48GB3000C16ASC (1 x 8GB | DIMM DDR4-3000),45890,1 x 8GB,DDR4,3000 MHz,DIMM,1.35 V,https://www.solotodo.com/products/70460-geil-super-luce-rgb-gals48gb3000c16asc-1-x-8gb-dimm-ddr4-3000,https://s3.amazonaws.com/solotodo-core/media/cache/30/bc/30bcc8662f910aa46bd27693be635e1a.png
Kingston HyperX Impact HX426S15IB2/8 (1 x 8GB | SO-DIMM DDR4-2666),44900,1 x 8GB,DDR4,2666 MHz,SO-DIMM,1.20 V,https://www.solotodo.com/products/57252-kingston-hyperx-impact-hx426s15ib28-1-x-8gb-so-dimm-ddr4-2666,https://solotodo-core.s3.amazonaws.com/media/cache/83/69/836914dc9f47c41e80fbb8c757be418f.png
Kingston HyperX Fury Black HX434C16FB3/8 (1 x 8GB | DIMM DDR4-3466),46900,1 x 8GB,DDR4,3466 MHz,DIMM,1.35 V,https://www.solotodo.com/products/67122-kingston-hyperx-fury-black-hx434c16fb38-1-x-8gb-dimm-ddr4-3466,https://s3.amazonaws.com/solotodo-core/media/cache/7b/03/7b03d984e98b00835508f84ad074c186.png
Crucial CT8G3S160BM (1 x 8GB | SO-DIMM DDR3-1600),46816,1 x 8GB,DDR3,1600 MHz,SO-DIMM,1.50 V,https://www.solotodo.com/products/11716-crucial-ct8g3s160bm-1-x-8gb-so-dimm-ddr3-1600,https://s3.amazonaws.com/solotodo-core/media/cache/d9/a1/d9a1e0702035497a6110b8c193519b60.png
Kingston HyperX Fury RGB HX426C16FB3A/8 (1 x 8GB | DIMM DDR4-2666),47606,1 x 8GB,DDR4,2666 MHz,DIMM,1.20 V,https://www.solotodo.com/products/66420-kingston-hyperx-fury-rgb-hx426c16fb3a8-1-x-8gb-dimm-ddr4-2666,https://s3.amazonaws.com/solotodo-core/media/cache/90/5b/905b12753abcd6eec94c4f08b0daf3f3.png
Crucial Ballistix Sport AT BLS8G4D30CESTK (1 x 8GB | DIMM DDR4-3000),47900,1 x 8GB,DDR4,3000 MHz,DIMM,1.35 V,https://www.solotodo.com/products/49066-crucial-ballistix-sport-at-bls8g4d30cestk-1-x-8gb-dimm-ddr4-3000,https://s3.amazonaws.com/solotodo-core/media/cache/99/62/9962d8bbe6d87a8105136be7e9c7ec72.png
Kingston HyperX Predator HX429C15PB3A/8 (1 x 8GB | DIMM DDR4-2933),47900,1 x 8GB,DDR4,2933 MHz,DIMM,1.35 V,https://www.solotodo.com/products/45138-kingston-hyperx-predator-hx429c15pb3a8-1-x-8gb-dimm-ddr4-2933,https://s3.amazonaws.com/solotodo-core/media/cache/b8/0f/b80f6f560460d8490329ad4833661c2d.png
GeIL Super Luce RGB GALS48GB3200C16ASC (1 x 8GB | DIMM DDR4-3200),47890,1 x 8GB,DDR4,3200 MHz,DIMM,1.35 V,https://www.solotodo.com/products/70115-geil-super-luce-rgb-gals48gb3200c16asc-1-x-8gb-dimm-ddr4-3200,https://s3.amazonaws.com/solotodo-core/media/cache/30/bc/30bcc8662f910aa46bd27693be635e1a.png
Kingston HyperX Fury Black HX424C15FB2/8 (1 x 8GB | DIMM DDR4-2400),47990,1 x 8GB,DDR4,2400 MHz,DIMM,1.20 V,https://www.solotodo.com/products/25985-kingston-hyperx-fury-black-hx424c15fb28-1-x-8gb-dimm-ddr4-2400,https://s3.amazonaws.com/solotodo-core/media/cache/15/c4/15c4199c2b06906a048a19d2866aaf48.png
Crucial MAC (2 x 2GB | SO-DIMM DDR3-1066),48160,2 x 2GB,DDR3,1066 MHz,SO-DIMM,1.50 V,https://www.solotodo.com/products/62048-crucial-mac-2-x-2gb-so-dimm-ddr3-1066,https://s3.amazonaws.com/solotodo-core/media/cache/f7/b1/f7b192b92308c2ae5187e4bb06ac9d30.png
Kingston HyperX Fury Red HX434C19FR2/8 (1 x 8GB | DIMM DDR4-3466),49900,1 x 8GB,DDR4,3466 MHz,DIMM,1.20 V,https://www.solotodo.com/products/61291-kingston-hyperx-fury-red-hx434c19fr28-1-x-8gb-dimm-ddr4-3466,https://solotodo-core.s3.amazonaws.com/media/cache/03/07/0307984b52ad57b4d72306c8e4bb8976.png
Kingston HyperX Fury RGB HX434C16FB3A/8 (1 x 8GB | DIMM DDR4-3466),49900,1 x 8GB,DDR4,3466 MHz,DIMM,1.35 V,https://www.solotodo.com/products/66419-kingston-hyperx-fury-rgb-hx434c16fb3a8-1-x-8gb-dimm-ddr4-3466,https://s3.amazonaws.com/solotodo-core/media/cache/b8/0f/b80f6f560460d8490329ad4833661c2d.png
Crucial Ballistix Sport LT BLS8G4D32AESBK (1 x 8GB | DIMM DDR4-3200),49990,1 x 8GB,DDR4,3200 MHz,DIMM,1.35 V,https://www.solotodo.com/products/62756-crucial-ballistix-sport-lt-bls8g4d32aesbk-1-x-8gb-dimm-ddr4-3200,https://s3.amazonaws.com/solotodo-core/media/cache/4a/ab/4aab85d5dd1db9c014be35c6c705b4c1.png
G.Skill Ripjaws F4-3000C16S-8GRS (1 x 8GB | SO-DIMM DDR4-3000),49990,1 x 8GB,DDR4,3000 MHz,SO-DIMM,1.20 V,https://www.solotodo.com/products/57936-gskill-ripjaws-f4-3000c16s-8grs-1-x-8gb-so-dimm-ddr4-3000,https://s3.amazonaws.com/solotodo-core/media/cache/da/84/da8484398984e2102c4d5cbbdafd0e48.png
A-DATA XPG Spectrix D80 AX4U300038G16-SR80 (1 x 8GB | DIMM DDR4-3000),49990,1 x 8GB,DDR4,3000 MHz,DIMM,1.35 V,https://www.solotodo.com/products/55886-a-data-xpg-spectrix-d80-ax4u300038g16-sr80-1-x-8gb-dimm-ddr4-3000,https://s3.amazonaws.com/solotodo-core/media/cache/d8/d9/d8d9681aeac1f581983a5d54003b4583.png
A-Tech KIT-8GB-2X4-DDR3-1600MHz-SODIMM-ATECH (2 x 4GB | SO-DIMM DDR3-1600),50497,2 x 4GB,DDR3,1600 MHz,SO-DIMM,1.35 V,https://www.solotodo.com/products/62363-a-tech-kit-8gb-2x4-ddr3-1600mhz-sodimm-atech-2-x-4gb-so-dimm-ddr3-1600,https://s3.amazonaws.com/solotodo-core/media/cache/5a/59/5a59f206ed143b367428ca9a3ad22f28.png
Genérica MAC (2 x 2GB | SO-DIMM DDR2-667),50960,2 x 2GB,DDR2,667 MHz,SO-DIMM,1.80 V,https://www.solotodo.com/products/62031-generica-mac-2-x-2gb-so-dimm-ddr2-667,https://s3.amazonaws.com/solotodo-core/media/cache/f2/ad/f2adec8c7c3476ee10e71c34e644a305.png
Crucial Ballistix Tactical Tracer BLT8G4D30BET4K (1 x 8GB | DIMM DDR4-3000),51900,1 x 8GB,DDR4,3000 MHz,DIMM,1.35 V,https://www.solotodo.com/products/44830-crucial-ballistix-tactical-tracer-blt8g4d30bet4k-1-x-8gb-dimm-ddr4-3000,https://s3.amazonaws.com/solotodo-core/media/cache/0c/a1/0ca13fd1ab589a4ba5bcf16316da8e2e.png
A-DATA XPG Spectrix D41 AX4U300038G16-ST41 (1 x 8GB | DIMM DDR4-3000),51900,1 x 8GB,DDR4,3000 MHz,DIMM,1.35 V,https://www.solotodo.com/products/65320-a-data-xpg-spectrix-d41-ax4u300038g16-st41-1-x-8gb-dimm-ddr4-3000,https://s3.amazonaws.com/solotodo-core/media/cache/79/ca/79cacd9a8a5ea2559cc520fe8a15b8fe.png
Kingston HyperX Fury RGB HX432C16FB3A/8 (1 x 8GB | DIMM DDR4-3200),52896,1 x 8GB,DDR4,3200 MHz,DIMM,1.35 V,https://www.solotodo.com/products/67569-kingston-hyperx-fury-rgb-hx432c16fb3a8-1-x-8gb-dimm-ddr4-3200,https://s3.amazonaws.com/solotodo-core/media/cache/22/21/22211d077c1e1f36d9b9e3440b95d711.png
Crucial Ballistix Tactical Tracer BLT8G4D26BFT4K (1 x 8GB | DIMM DDR4-2666),52900,1 x 8GB,DDR4,2666 MHz,DIMM,1.20 V,https://www.solotodo.com/products/44308-crucial-ballistix-tactical-tracer-blt8g4d26bft4k-1-x-8gb-dimm-ddr4-2666,https://s3.amazonaws.com/solotodo-core/media/cache/b8/0f/b80f6f560460d8490329ad4833661c2d.png
A-DATA XPG Spectrix D60G AX4U300038G16-ST60 (1 x 8GB | DIMM DDR4-3000),54900,1 x 8GB,DDR4,3000 MHz,DIMM,1.35 V,https://www.solotodo.com/products/65318-a-data-xpg-spectrix-d60g-ax4u300038g16-st60-1-x-8gb-dimm-ddr4-3000,https://s3.amazonaws.com/solotodo-core/media/cache/79/ca/79cacd9a8a5ea2559cc520fe8a15b8fe.png
Crucial MAC KIT-8GB-2X4-DDR3-1866-SODIMM (2 x 4GB | SO-DIMM DDR3-1866),54880,2 x 4GB,DDR3,1866 MHz,SO-DIMM,1.35 V,https://www.solotodo.com/products/62361-crucial-mac-kit-8gb-2x4-ddr3-1866-sodimm-2-x-4gb-so-dimm-ddr3-1866,https://solotodo-core.s3.amazonaws.com/media/cache/bd/50/bd5075694f7efed0037b5254d52f85cc.png
Kingston HyperX HX430C15PB3A/8 (1 x 8GB | DIMM DDR4-3000),54990,1 x 8GB,DDR4,3000 MHz,DIMM,1.35 V,https://www.solotodo.com/products/63582-kingston-hyperx-hx430c15pb3a8-1-x-8gb-dimm-ddr4-3000,https://s3.amazonaws.com/solotodo-core/media/cache/47/95/4795e1ba1059ce408684124d14aab8e2.png
Genérica MAC Pro (2 x 4GB | DIMM DDR3-1066 ECC),56000,2 x 4GB,DDR3,1066 MHz,DIMM,1.50 V,https://www.solotodo.com/products/62045-generica-mac-pro-2-x-4gb-dimm-ddr3-1066-ecc,https://s3.amazonaws.com/solotodo-core/media/cache/d9/a1/d9a1e0702035497a6110b8c193519b60.png
Crucial CT4G3S1067M (1 x 4GB | SO-DIMM DDR3-1066),56230,1 x 4GB,DDR3,1066 MHz,SO-DIMM,1.35 V,https://www.solotodo.com/products/48228-crucial-ct4g3s1067m-1-x-4gb-so-dimm-ddr3-1066,https://s3.amazonaws.com/solotodo-core/media/cache/25/49/2549b29364dfb876370bfc51fdf63e11.png
Kingston KTH-X3C/8G (1 x 8GB | SO-DIMM DDR3-1600),56900,1 x 8GB,DDR3,1600 MHz,SO-DIMM,1.50 V,https://www.solotodo.com/products/8360-kingston-kth-x3c8g-1-x-8gb-so-dimm-ddr3-1600,https://s3.amazonaws.com/solotodo-core/media/cache/73/d2/73d207bd71344cda323f7123c8543969.png
