nombre,precio,gpu,memoria,frecuencias,bus,link
Zotac GeForce GTX 1050 Ti OC Edition (ZT-P10510B-10L),199.990,NVIDIA GeForce GTX 1050 Ti,4 GB GDDR5 (128 bit),1392 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/29774-zotac-geforce-gtx-1050-ti-oc-edition-zt-p10510b-10l
PNY Quadro P620 (VCQP620-PB),201.400,NVIDIA Quadro P620,2 GB GDDR5 (128 bit),1266 MHz core / 1003 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/64850-pny-quadro-p620-vcqp620-pb
ASUS TUF-GTX1650S-O4G-GAMING (90YV0E42-M0NA00),205.900,NVIDIA GeForce GTX 1650 Super,4 GB GDDR6 (128 bit),1530 MHz core / 1500 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/70611-asus-tuf-gtx1650s-o4g-gaming-90yv0e42-m0na00
ASRock Phantom Gaming D Radeon RX580 8G OC (90-GA0MZZ-00UANZ),206.990,AMD Radeon RX 580,8 GB GDDR5 (256 bit),1380 MHz core / 2000 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/75875-asrock-phantom-gaming-d-radeon-rx580-8g-oc-90-ga0mzz-00uanz
MSI GeForce GTX 1650 GAMING X 4G,208.990,NVIDIA GeForce GTX 1650,4 GB GDDR5 (128 bit),1485 MHz core / 2000 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/60282-msi-geforce-gtx-1650-gaming-x-4g
MSI Radeon RX 5500 XT MECH 4G OC,212.990,AMD Radeon RX 5500 XT,4 GB GDDR6 (128 bit),1647 MHz core / 1750 MHz memorias,PCI Express 4.0 x16,https://www.solotodo.com/products/75024-msi-radeon-rx-5500-xt-mech-4g-oc
PNY Quadro P620 V2 (VCQP620V2-PB),217.664,NVIDIA Quadro P620,2 GB GDDR5 (128 bit),1266 MHz core / 1003 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/74767-pny-quadro-p620-v2-vcqp620v2-pb
ASRock Radeon RX 5500 XT Challenger D 8G OC (RX5500XT CLD 8GO),219.900,AMD Radeon RX 5500 XT,8 GB GDDR6 (128 bit),1685 MHz core / 1750 MHz memorias,PCI Express 4.0 x8,https://www.solotodo.com/products/73459-asrock-radeon-rx-5500-xt-challenger-d-8g-oc-rx5500xt-cld-8go
Galax GeForce GTX 1650 Super EX (1-Click OC) (65SQL8DS61EX),219.990,NVIDIA GeForce GTX 1650 Super,4 GB GDDR6 (128 bit),1530 MHz core / 1500 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/74179-galax-geforce-gtx-1650-super-ex-1-click-oc-65sql8ds61ex
Gigabyte Radeon RX 5500 XT OC 8G (GV-R55XTOC-8GD),229.900,AMD Radeon RX 5500 XT,8 GB GDDR6 (128 bit),1717 MHz core / 1750 MHz memorias,PCI Express 4.0 x16,https://www.solotodo.com/products/71772-gigabyte-radeon-rx-5500-xt-oc-8g-gv-r55xtoc-8gd
MSI Radeon RX 5500 XT MECH 8G OC,229.990,AMD Radeon RX 5500 XT,8 GB GDDR6 (128 bit),1647 MHz core / 1750 MHz memorias,PCI Express 4.0 x16,https://www.solotodo.com/products/71014-msi-radeon-rx-5500-xt-mech-8g-oc
Gigabyte Radeon RX 5500 XT OC 4G (GV-R55XTOC-4GD),229.990,AMD Radeon RX 5500 XT,4 GB GDDR6 (128 bit),1717 MHz core / 1750 MHz memorias,PCI Express 4.0 x16,https://www.solotodo.com/products/73438-gigabyte-radeon-rx-5500-xt-oc-4g-gv-r55xtoc-4gd
HP Quadro P620 (3ME25AA),233.472,NVIDIA Quadro P620,2 GB GDDR5 (128 bit),1266 MHz core / 1003 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/66013-hp-quadro-p620-3me25aa
EVGA GeForce GTX 1060 SC GAMING (06G-P4-6163-KR),229.900,NVIDIA GeForce GTX 1060 (6 GB),6 GB GDDR5 (192 bit),1607 MHz core / 2002 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/30237-evga-geforce-gtx-1060-sc-gaming-06g-p4-6163-kr
