nombre,precio,gpu,memoria,frecuencias,bus,link
ASUS TURBO-RTX2060-6G,396.036,NVIDIA GeForce RTX 2060,6 GB GDDR6 (192 bit),1365 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/77518-asus-turbo-rtx2060-6g
EVGA GeForce GTX 980 Ti SC+ GAMING ACX 2.0+ (06G-P4-4995-KR),399.900,NVIDIA GeForce GTX 980 Ti,6 GB GDDR5 (384 bit),1102 MHz core / 1753 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/26130-evga-geforce-gtx-980-ti-sc-gaming-acx-20-06g-p4-4995-kr
PNY Quadro P1000 (VCQP1000-ESPPB),399.950,NVIDIA Quadro P1000,4 GB GDDR5 (128 bit),1354 MHz core / 1752 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/64487-pny-quadro-p1000-vcqp1000-esppb
MSI Radeon RX 5700 EVOKE OC,399.990,AMD Radeon RX 5700,8 GB GDDR6 (256 bit),1540 MHz core / 1750 MHz memorias,PCI Express 4.0 x16,https://www.solotodo.com/products/75354-msi-radeon-rx-5700-evoke-oc
Zotac GAMING GeForce RTX 2060 (ZT-T20600H-10M),398.990,NVIDIA GeForce RTX 2060,6 GB GDDR6 (192 bit),1365 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/71249-zotac-gaming-geforce-rtx-2060-zt-t20600h-10m
MSI GeForce RTX 2060 VENTUS 6G OC,399.990,NVIDIA GeForce RTX 2060,6 GB GDDR6 (192 bit),1365 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/56217-msi-geforce-rtx-2060-ventus-6g-oc
ASUS DUAL-RTX2060-O6G,399.900,NVIDIA GeForce RTX 2060,6 GB GDDR6 (192 bit),1365 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/55953-asus-dual-rtx2060-o6g
Gigabyte Radeon RX 5600 XT GAMING OC 6G (GV-R56XTGAMING OC-6GD),399.990,AMD Radeon RX 5600 XT,6 GB GDDR6 (192 bit),1130 MHz core / 1500 MHz memorias,PCI Express 4.0 x16,https://www.solotodo.com/products/73974-gigabyte-radeon-rx-5600-xt-gaming-oc-6g-gv-r56xtgaming-oc-6gd
EVGA GeForce RTX 2060 SC BLACK GAMING (06G-P4-1762-KR),409.990,NVIDIA GeForce RTX 2060,6 GB GDDR6 (192 bit),1365 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/76199-evga-geforce-rtx-2060-sc-black-gaming-06g-p4-1762-kr
MSI GeForce RTX 2060 GAMING Z 6G,419.520,NVIDIA GeForce RTX 2060,6 GB GDDR6 (192 bit),1365 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/55909-msi-geforce-rtx-2060-gaming-z-6g
Zotac GAMING GeForce RTX 2060 SUPER MINI (ZT-T20610E-10M),409.900,NVIDIA GeForce RTX 2060 Super,8 GB GDDR6 (256 bit),1365 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/65126-zotac-gaming-geforce-rtx-2060-super-mini-zt-t20610e-10m
ASUS ROG-STRIX-RTX2060-O6G-GAMING (90YV0CI0-M0AA00),421.990,NVIDIA GeForce RTX 2060,6 GB GDDR6 (192 bit),1365 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/55949-asus-rog-strix-rtx2060-o6g-gaming-90yv0ci0-m0aa00
MSI Radeon RX 5700 XT MECH OC,427.990,AMD Radeon RX 5700 XT,8 GB GDDR6 (256 bit),1670 MHz core / 1750 MHz memorias,PCI Express 4.0 x16,https://www.solotodo.com/products/66158-msi-radeon-rx-5700-xt-mech-oc
ASUS ROG-STRIX-RTX2060-A6G-GAMING,429.990,NVIDIA GeForce RTX 2060,6 GB GDDR6 (192 bit),1365 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/55958-asus-rog-strix-rtx2060-a6g-gaming
MSI Radeon RX 5700 GAMING X 8G,439.990,AMD Radeon RX 5700,8 GB GDDR6 (256 bit),1610 MHz core / 1750 MHz memorias,PCI Express 4.0 x16,https://www.solotodo.com/products/75454-msi-radeon-rx-5700-gaming-x-8g
ASUS TUF 3-RX5700-O8G-GAMING (90YV0DC0-M0NA00),429.900,AMD Radeon RX 5700,8 GB GDDR6 (256 bit),1565 MHz core / 1750 MHz memorias,PCI Express 4.0 x16,https://www.solotodo.com/products/70345-asus-tuf-3-rx5700-o8g-gaming-90yv0dc0-m0na00
MSI GeForce RTX 2060 SUPER VENTUS GP OC,446.990,NVIDIA GeForce RTX 2060 Super,8 GB GDDR6 (256 bit),1407 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/72322-msi-geforce-rtx-2060-super-ventus-gp-oc
Gigabyte GeForce RTX 2060 SUPER WINDFORCE OC 8G (GV-N206SWF2OC-8GD),449.990,NVIDIA GeForce RTX 2060 Super,8 GB GDDR6 (256 bit),1680 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/64788-gigabyte-geforce-rtx-2060-super-windforce-oc-8g-gv-n206swf2oc-8gd
Galax GeForce RTX 2060 Super (1-Click OC) (26ISL6HP39SS),449.990,NVIDIA GeForce RTX 2060 Super,8 GB GDDR6 (256 bit),1470 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/69416-galax-geforce-rtx-2060-super-1-click-oc-26isl6hp39ss
ASUS ROG-STRIX-RX5700-O8G-GAMING (90YV0DD0-M0NA00),449.990,AMD Radeon RX 5700,8 GB GDDR6 (256 bit),1610 MHz core / 1750 MHz memorias,PCI Express 4.0 x16,https://www.solotodo.com/products/70061-asus-rog-strix-rx5700-o8g-gaming-90yv0dd0-m0na00
MSI GeForce RTX 2060 SUPER VENTUS OC,458.900,NVIDIA GeForce RTX 2060 Super,8 GB GDDR6 (256 bit),1407 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/64585-msi-geforce-rtx-2060-super-ventus-oc
PNY Quadro P2200 RET SCB SB (VCQP2200-SB),459.990,NVIDIA Quadro P2200,5.0 GB GDDR5X (160 bit),1000 MHz core / 1253 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/69980-pny-quadro-p2200-ret-scb-sb-vcqp2200-sb
MSI Radeon RX 5700 XT GAMING X,464.990,AMD Radeon RX 5700 XT,8 GB GDDR6 (256 bit),1730 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/75469-msi-radeon-rx-5700-xt-gaming-x
EVGA GeForce RTX 2060 SC Ultra GAMING (06G-P4-2067-KR),471.584,NVIDIA GeForce RTX 2060,6 GB GDDR6 (192 bit),1365 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/60281-evga-geforce-rtx-2060-sc-ultra-gaming-06g-p4-2067-kr
ASUS CERBERUS-GTX1070TI-A8G (90YV0BJ1-M0NA00),469.900,NVIDIA GeForce GTX 1070 Ti,8 GB GDDR5 (256 bit),1607 MHz core / 2002 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/43579-asus-cerberus-gtx1070ti-a8g-90yv0bj1-m0na00
EVGA GeForce RTX 2060 SUPER SC BLACK GAMING (08G-P4-3062-KR),487.990,NVIDIA GeForce RTX 2060 Super,8 GB GDDR6 (256 bit),1470 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/71012-evga-geforce-rtx-2060-super-sc-black-gaming-08g-p4-3062-kr
MSI GeForce RTX 2060 SUPER GAMING X,489.990,NVIDIA GeForce RTX 2060 Super,8 GB GDDR6 (256 bit),1407 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/63989-msi-geforce-rtx-2060-super-gaming-x
Gigabyte GeForce RTX 2060 SUPER WINDFORCE OC 8G (GV-N206SWF2OC-8GD REV2.0),499.900,NVIDIA GeForce RTX 2060 Super,8 GB GDDR6 (256 bit),1680 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/67602-gigabyte-geforce-rtx-2060-super-windforce-oc-8g-gv-n206swf2oc-8gd-rev20
PNY Quadro P2000 (VCQP2000-BLK),499.900,NVIDIA Quadro P2000,5.0 GB GDDR5 (160 bit),1370 MHz core / 2002 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/64485-pny-quadro-p2000-vcqp2000-blk
Zotac GAMING GeForce RTX 2060 SUPER AMP Extreme (ZT-T20610B-10P),519.900,NVIDIA GeForce RTX 2060 Super,8 GB GDDR6 (256 bit),1407 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/64446-zotac-gaming-geforce-rtx-2060-super-amp-extreme-zt-t20610b-10p
ASUS ROG-STRIX-RTX2060S-A8G-GAMING (90YV0DG1-M0NA00),532.900,NVIDIA GeForce RTX 2060 Super,8 GB GDDR6 (256 bit),1470 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/66542-asus-rog-strix-rtx2060s-a8g-gaming-90yv0dg1-m0na00
Zotac GAMING GeForce RTX 2070 SUPER MINI (ZT-T20710E-10M),539.900,NVIDIA GeForce RTX 2070 Super,8 GB GDDR6 (256 bit),1605 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/68054-zotac-gaming-geforce-rtx-2070-super-mini-zt-t20710e-10m
MSI GeForce RTX 2070 SUPER VENTUS OC,558.900,NVIDIA GeForce RTX 2070 Super,8 GB GDDR6 (256 bit),1605 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/63991-msi-geforce-rtx-2070-super-ventus-oc
ASUS ROG-STRIX-RXVEGA56-O8G-GAMING,570.000,AMD Radeon RX Vega 56,8 GB HBM2 (2048 bit),1297 MHz core / 800 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/44219-asus-rog-strix-rxvega56-o8g-gaming
EVGA GeForce RTX 2070 SUPER GAMING (08G-P4-3070-KR),558.900,NVIDIA GeForce RTX 2070 Super,8 GB GDDR6 (256 bit),1605 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/68861-evga-geforce-rtx-2070-super-gaming-08g-p4-3070-kr
Gigabyte GeForce RTX 2070 SUPER GAMING OC 8G (GV-N207SGAMING OC-8GC),594.586,NVIDIA GeForce RTX 2070 Super,8 GB GDDR6 (256 bit),1815 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/64547-gigabyte-geforce-rtx-2070-super-gaming-oc-8g-gv-n207sgaming-oc-8gc
Zotac GAMING GeForce RTX 2070 SUPER Twin Fan (ZT-T20710F-10P),599.707,NVIDIA GeForce RTX 2070 Super,8 GB GDDR6 (256 bit),1605 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/64468-zotac-gaming-geforce-rtx-2070-super-twin-fan-zt-t20710f-10p
MSI GeForce RTX 2070 SUPER GAMING X,609.990,NVIDIA GeForce RTX 2070 Super,8 GB GDDR6 (256 bit),1605 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/67603-msi-geforce-rtx-2070-super-gaming-x
Galax GeForce RTX 2070 Super EX Gamer Black Edition (27ISL6MDW0BG),619.990,NVIDIA GeForce RTX 2070 Super,8 GB GDDR6 (256 bit),1605 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/69438-galax-geforce-rtx-2070-super-ex-gamer-black-edition-27isl6mdw0bg
HP Quadro P2000 (1ME41AA),621.376,NVIDIA Quadro P2000,5.0 GB GDDR5 (160 bit),1370 MHz core / 2002 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/66154-hp-quadro-p2000-1me41aa
EVGA GeForce RTX 2070 SUPER BLACK GAMING (08G-P4-3071-KR),628.064,NVIDIA GeForce RTX 2070 Super,8 GB GDDR6 (256 bit),1605 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/66388-evga-geforce-rtx-2070-super-black-gaming-08g-p4-3071-kr
ASUS ROG-STRIX-RTX2070S-A8G-GAMING (90YV0DI1-MTAA00),663.690,NVIDIA GeForce RTX 2070 Super,8 GB GDDR6 (256 bit),1605 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/67144-asus-rog-strix-rtx2070s-a8g-gaming-90yv0di1-mtaa00
Gigabyte AORUS GeForce RTX 2070 SUPER 8G (GV-N207SAORUS-8GC),714.990,NVIDIA GeForce RTX 2070 Super,8 GB GDDR6 (256 bit),1905 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/70311-gigabyte-aorus-geforce-rtx-2070-super-8g-gv-n207saorus-8gc
EVGA GeForce RTX 2070 SUPER FTW3 GAMING (08G-P4-3273-KR),737.900,NVIDIA GeForce RTX 2070 Super,8 GB GDDR6 (256 bit),1605 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/76200-evga-geforce-rtx-2070-super-ftw3-gaming-08g-p4-3273-kr
MSI GeForce RTX 2080 VENTUS 8G OC,739.936,NVIDIA GeForce RTX 2080,8 GB GDDR6 (256 bit),1515 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/51686-msi-geforce-rtx-2080-ventus-8g-oc
Zotac GAMING GeForce RTX 2080 SUPER AMP (ZT-T20820D-10P),749.990,NVIDIA GeForce RTX 2080 Super,8 GB GDDR6 (256 bit),1650 MHz core / 1938 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/64469-zotac-gaming-geforce-rtx-2080-super-amp-zt-t20820d-10p
Gigabyte GeForce RTX 2080 SUPER TURBO 8G (GV-N208STURBO-8GC),775.086,NVIDIA GeForce RTX 2080 Super,8 GB GDDR6 (256 bit),1815 MHz core / 1938 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/64543-gigabyte-geforce-rtx-2080-super-turbo-8g-gv-n208sturbo-8gc
MSI GeForce RTX 2080 SUPER VENTUS XS OC,799.990,NVIDIA GeForce RTX 2080 Super,8 GB GDDR6 (256 bit),1650 MHz core / 1938 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/71759-msi-geforce-rtx-2080-super-ventus-xs-oc
MSI GeForce RTX 2080 SUPER GAMING X TRIO,819.990,NVIDIA GeForce RTX 2080 Super,8 GB GDDR6 (256 bit),1650 MHz core / 1938 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/65450-msi-geforce-rtx-2080-super-gaming-x-trio
MSI GeForce RTX 2080 SUPER VENTUS OC,820.373,NVIDIA GeForce RTX 2080 Super,8 GB GDDR6 (256 bit),1650 MHz core / 1938 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/70022-msi-geforce-rtx-2080-super-ventus-oc
Galax GeForce RTX 2080 Super EX (1-Click OC) (28ISL6MDU9EX),824.990,NVIDIA GeForce RTX 2080 Super,8 GB GDDR6 (256 bit),1845 MHz core / 1938 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/69798-galax-geforce-rtx-2080-super-ex-1-click-oc-28isl6mdu9ex
EVGA GeForce RTX 2080 SUPER BLACK GAMING (08G-P4-3081-KR),835.900,NVIDIA GeForce RTX 2080 Super,8 GB GDDR6 (256 bit),1650 MHz core / 1938 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/66540-evga-geforce-rtx-2080-super-black-gaming-08g-p4-3081-kr
PNY Quadro P4000 (VCQP4000-ESPPB),849.990,NVIDIA Quadro P4000,8 GB GDDR5 (256 bit),1227 MHz core / 1502 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/64481-pny-quadro-p4000-vcqp4000-esppb
Gigabyte GeForce RTX 2080 SUPER GAMING OC 8G (GV-N208SGAMING OC-8GC),864.990,NVIDIA GeForce RTX 2080 Super,8 GB GDDR6 (256 bit),1845 MHz core / 1938 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/64539-gigabyte-geforce-rtx-2080-super-gaming-oc-8g-gv-n208sgaming-oc-8gc
ASUS ROG-STRIX-RTX2080S-A8G-GAMING,894.990,NVIDIA GeForce RTX 2080 Super,8 GB GDDR6 (256 bit),1650 MHz core / 1938 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/67539-asus-rog-strix-rtx2080s-a8g-gaming
Gigabyte GeForce RTX 2080 SUPER WINDFORCE OC 8G (GV-N208SWF3OC-8GD),939.990,NVIDIA GeForce RTX 2080 Super,8 GB GDDR6 (256 bit),1830 MHz core / 1938 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/66414-gigabyte-geforce-rtx-2080-super-windforce-oc-8g-gv-n208swf3oc-8gd
Gigabyte AORUS GeForce RTX 2080 SUPER WATERFORCE WB 8G (GV-N208SAORUS WB-8GC),997.590,NVIDIA GeForce RTX 2080 Super,8 GB GDDR6 (256 bit),1860 MHz core / 1938 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/71153-gigabyte-aorus-geforce-rtx-2080-super-waterforce-wb-8g-gv-n208saorus-wb-8gc
Gigabyte GeForce RTX 2080 Ti GAMING 11G (GV-N208TGAMING OC-11GC),1.399.900,NVIDIA GeForce RTX 2080 Ti,11 GB GDDR6 (352 bit),1545 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/74141-gigabyte-geforce-rtx-2080-ti-gaming-11g-gv-n208tgaming-oc-11gc
MSI GeForce RTX 2080 TI GAMING X TRIO,1.399.990,NVIDIA GeForce RTX 2080 Ti,11 GB GDDR6 (352 bit),1350 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/52237-msi-geforce-rtx-2080-ti-gaming-x-trio
Zotac GAMING GeForce RTX 2080 Ti AMP MAXX (ZT-T20810H-10P),1.399.990,NVIDIA GeForce RTX 2080 Ti,11 GB GDDR6 (352 bit),1350 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/67604-zotac-gaming-geforce-rtx-2080-ti-amp-maxx-zt-t20810h-10p
ASUS ROG-STRIX-RTX2080TI-11G-GAMING,1.429.900,NVIDIA GeForce RTX 2080 Ti,11 GB GDDR6 (352 bit),1350 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/57073-asus-rog-strix-rtx2080ti-11g-gaming
EVGA GeForce RTX 2080 Ti BLACK EDITION GAMING (11G-P4-2281-KR),1.432.591,NVIDIA GeForce RTX 2080 Ti,11 GB GDDR6 (352 bit),1350 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/58322-evga-geforce-rtx-2080-ti-black-edition-gaming-11g-p4-2281-kr
Galax RTX 2080Ti HOF (28IULBUCV6DH),1.449.990,NVIDIA GeForce RTX 2080 Ti,11 GB GDDR6 (352 bit),1350 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/69333-galax-rtx-2080ti-hof-28iulbucv6dh
