nombre,precio,socket,chipset,memorias,formato,tipomemoria,link
ASUS ROG Maximus VIII Hero Alpha,199.900,LGA 1151,Intel Z170 (LGA 1151),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/30394-asus-rog-maximus-viii-hero-alpha
Gigabyte Z390 AORUS ELITE,209.760,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/52501-gigabyte-z390-aorus-elite
Gigabyte Z390 DESIGNARE,211.736,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/53904-gigabyte-z390-designare
ASRock X570 Steel Legend,209.900,AM4,AMD X570 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/64092-asrock-x570-steel-legend
ASRock X570M Pro4,216.173,AM4,AMD X570 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/76872-asrock-x570m-pro4
ASUS Maximus VIII Gene,210.900,LGA 1151,Intel Z170 (LGA 1151),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/22547-asus-maximus-viii-gene
ASRock X570 Steel Legend WiFi ax,219.900,AM4,AMD X570 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/64854-asrock-x570-steel-legend-wifi-ax
ASUS TUF X299 MARK 2,224.990,LGA 2066,Intel X299 (LGA 2066),8x DDR4,ATX,DDR4,https://www.solotodo.com/products/39530-asus-tuf-x299-mark-2-90mb0ub0-m0aay0
MSI X299 TOMAHAWK,234.990,LGA 2066,Intel X299 (LGA 2066),8x DDR4,ATX,DDR4,https://www.solotodo.com/products/37874-msi-x299-tomahawk
MSI MPG X570 GAMING EDGE WIFI,237.396,AM4,AMD X570 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/63830-msi-mpg-x570-gaming-edge-wifi
Gigabyte X570 AORUS ELITE,239.900,AM4,AMD X570 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/65454-gigabyte-x570-aorus-elite
Gigabyte Z390 AORUS ULTRA,259.900,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/52298-gigabyte-z390-aorus-ultra
MSI X370 XPOWER GAMING TITANIUM,255.900,AM4,AMD X370 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/35065-msi-x370-xpower-gaming-titanium
MSI MEG Z390 ACE,275.390,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/52297-msi-meg-z390-ace
ASUS ROG STRIX Z390-E GAMING,273.900,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/52834-asus-rog-strix-z390-e-gaming
