nombre,precio,frecuencia,nucleos,socket,cache,arquitectura,link
Intel Core i7-7700,368.990,3600 - 4200 MHz,4,LGA 1151,4 x 256KB L2 / 8MB L3,Intel Kaby Lake,https://www.solotodo.com/products/31102-intel-core-i7-7700-bx80677i77700
AMD Ryzen 7 3800X,378.000,3900 - 4500 MHz,8,AM4,8 x 512KB L2 / 2 x 16MB L3,AMD Matisse,https://www.solotodo.com/products/64470-amd-ryzen-7-3800x-100-100000025box
Intel Core i7-9700,379.990,3000 MHz,8,LGA 1151-v2,8 x 256KB L2 / 8 x 2MB L3,Intel Coffee Lake R,https://www.solotodo.com/products/63925-intel-core-i7-9700-bx80684i79700
Intel Core i7-8700K,378.900,3700 - 4700 MHz,6,LGA 1151-v2,6 x 256KB L2 / 12MB L3,Intel Coffee Lake S,https://www.solotodo.com/products/40543-intel-core-i7-8700k-bx80684i78700k
Intel Core i7-9700KF,419.990,3600 - 4900 MHz,8,LGA 1151-v2,8 x 256KB L2 / 8 x 2MB L3,Intel Coffee Lake R,https://www.solotodo.com/products/66943-intel-core-i7-9700kf-bx80684i79700kf
Intel Core i7-9700K,435.900,3600 - 4900 MHz,8,LGA 1151-v2,8 x 256KB L2 / 8 x 2MB L3,Intel Coffee Lake R,https://www.solotodo.com/products/52787-intel-core-i7-9700k-bx80684i79700k
Intel Core i9-9900K,493.991,3600 - 5000 MHz,8,LGA 1151-v2,8 x 256KB L2 / 8 x 2MB L3,Intel Coffee Lake R,https://www.solotodo.com/products/52663-intel-core-i9-9900k-bx80684i99900k
Intel Core i9-9900KF,499.990,3600 - 5000 MHz,8,LGA 1151-v2,8 x 256KB L2 / 8 x 2MB L3,Intel Coffee Lake R,https://www.solotodo.com/products/62646-intel-core-i9-9900kf-bx80684i99900kf
AMD Ryzen 9 3900X,586.990,3800 - 4600 MHz,12,AM4,12 x 512KB L2 / 4 x 16MB L3,AMD Matisse,https://www.solotodo.com/products/64117-amd-ryzen-9-3900x-100-100000023box
Intel Core i9-9900KS,599.990,4000 - 5000 MHz,8,LGA 1151-v2,8 x 256KB L2 / 8 x 2MB L3,Intel Coffee Lake R,https://www.solotodo.com/products/69932-intel-core-i9-9900ks-bx80684i99900kss
AMD Ryzen Threadripper 2950X,769.990,3500 - 4400 MHz,16,TR4,16 x 512KB L2 / 32MB L3,AMD Colfax,https://www.solotodo.com/products/51729-amd-ryzen-threadripper-2950x-yd295xa8afwof
Intel Core i9-9900X,798.912,3500 - 4400 MHz,10,LGA 2066,10 x 1MB L2 / 14 x 1MB L3,Intel Skylake-X,https://www.solotodo.com/products/65127-intel-core-i9-9900x-bx80673i99900x
AMD Ryzen 9 3950X,869.990,3500 - 4700 MHz,16,AM4,16 x 512KB L2 / 4 x 16MB L3,AMD Matisse,https://www.solotodo.com/products/72391-amd-ryzen-9-3950x-100-100000051wof
Intel Core i9-7920X,1.299.990,2900 - 4400 MHz,12,LGA 2066,12 x 1MB L2 / 17MB L3,Intel Skylake-X,https://www.solotodo.com/products/43727-intel-core-i9-7920x-bx80673i97920x
Intel Core i9-7940X,1.499.990,3100 - 4400 MHz,14,LGA 2066,14 x 1MB L2 / 19MB L3,Intel Skylake-X,https://www.solotodo.com/products/44591-intel-core-i9-7940x-bx80673i97940x
AMD Ryzen Threadripper 3960X,1.549.990,3800 - 4500 MHz,24,sTRX4,24 x 512KB L2 / 8 x 16MB L3,AMD Castle Peak,https://www.solotodo.com/products/71720-amd-ryzen-threadripper-3960x-100-100000010wof
Intel Core i9-7960X,1.799.990,2800 - 4400 MHz,16,LGA 2066,16 x 1MB L2 / 22MB L3,Intel Skylake-X,https://www.solotodo.com/products/43728-intel-core-i9-7960x-bx80673i97960x
Intel Core i9-9960X,1.899.990,3100 - 4400 MHz,16,LGA 2066,16 x 1MB L2 / 16 x 1MB L3,Intel Skylake-X,https://www.solotodo.com/products/71559-intel-core-i9-9960x-bx80673i99960x
