nombre,precio,formato,fuentepoder,ubfuente,panellateral,link
DeepCool Tesseract WH SW,43.990,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/40582-deepcool-tesseract-wh-sw
DeepCool Tesseract SW,44.990,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/27564-deepcool-tesseract-sw
DeepCool Tesseract SW RD,44.990,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/27566-deepcool-tesseract-sw-rd
Apexgaming Hermès S1,44.990,Extended ATX,No posee,Inferior,Aluminio (Cubierto),https://www.solotodo.com/products/70004-apexgaming-hermes-s1
Thermaltake Commander MS-I Epic Edition (VN400A1W2N-B),44.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/5956-thermaltake-commander-ms-i-epic-edition-vn400a1w2n-b
Gamemax G539 Nexus RGB,44.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/73253-gamemax-g539-nexus-rgb
Riotoro CR280,46.448,Mini ITX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/30933-riotoro-cr280
Cooler Master MasterBox MB520 - Red (MCB-B520-KANN-S00),46.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/52838-cooler-master-masterbox-mb520-red-mcb-b520-kann-s00
Gamemax 9536 G536,45.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/26815-gamemax-9536-g536
Gamemax 9536 G536 Black,45.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/26835-gamemax-9536-g536-black
Thermaltake Core V31 (CA-1C8-00M1WN-00),48.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/21721-thermaltake-core-v31-ca-1c8-00m1wn-00
Riotoro CR400,49.014,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/59733-riotoro-cr400
Thermaltake LANBOX Lite VF6000BNS,49.900,Micro ATX,No posee,Superior,Aluminio (Cubierto),https://www.solotodo.com/products/21044-thermaltake-lanbox-lite-vf6000bns
DeepCool Matrexx 50 (DP-ATX-MATREXX50),49.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/64530-deepcool-matrexx-50-dp-atx-matrexx50
Apexgaming X1,49.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/70009-apexgaming-x1
Thermaltake Commander MS-I (VN400A1W2N),48.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/5530-thermaltake-commander-ms-i-vn400a1w2n
Azza Raven 420 (CSAZ-420),49.900,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/62042-azza-raven-420-csaz-420
Gamemax Aurora W901 RGB,49.900,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/65914-gamemax-aurora-w901-rgb
Raidmax Horus - Black (ATX-322WB),49.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/20215-raidmax-horus-black-atx-322wb
Thermaltake Versa H25 (Window) (CA-1C2-00M1WN-00),49.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/19901-thermaltake-versa-h25-window-ca-1c2-00m1wn-00
Cooler Master NR600 w/ ODD (MCB-NR600-KG5N-S00),51.900,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/68306-cooler-master-nr600-w-odd-mcb-nr600-kg5n-s00
