nombre,precio,formato,fuentepoder,ubfuente,panellateral,link
Sharkoon CA200G Elite Shark,99.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/69994-sharkoon-ca200g-elite-shark
Sharkoon CA200M Elite Shark,99.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/69993-sharkoon-ca200m-elite-shark
NZXT Phantom 530 - Black (CA-PH530-B1),98.900,Extended ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/25485-nzxt-phantom-530-black-ca-ph530-b1
NZXT Phantom - White (PHAN-001WT),98.900,Extended ATX,No posee,Inferior,Aluminio (Cubierto),https://www.solotodo.com/products/25505-nzxt-phantom-white-phan-001wt
Corsair Carbide Series 500R - White (CC-9011013-WW),99.900,ATX,No posee,Inferior,Aluminio (Malla),https://www.solotodo.com/products/5962-corsair-carbide-series-500r-white-cc-9011013-ww
Thermaltake Core P3 (CA-1G4-00M1WN-00),99.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/33573-thermaltake-core-p3-ca-1g4-00m1wn-00
Corsair Crystal Series 280X RGB - Black (CC-9011135-WW),109.990,Micro ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/53382-corsair-crystal-series-280x-rgb-black-cc-9011135-ww
Riotoro CR1280 PRISM RGB,111.100,Extended ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/30624-riotoro-cr1280-prism-rgb
Cooler Master MasterBox CM694 Tempered Glass (MCB-CM694-KG5N-S00),113.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/64590-cooler-master-masterbox-cm694-tempered-glass-mcb-cm694-kg5n-s00
Cooler Master MasterCase Maker 5 (MCZ-005M-KWN00),119.990,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/29721-cooler-master-mastercase-maker-5-mcz-005m-kwn00
Cooler Master MasterBox MB530P (MCB-B530P-KHNN-S01),119.990,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/53415-cooler-master-masterbox-mb530p-mcb-b530p-khnn-s01
In Win 303C - Black,119.990,ATX,No posee,Superior,Vidrio templado,https://www.solotodo.com/products/40596-in-win-303c-black
In Win 303C - White,119.990,ATX,No posee,Superior,Vidrio templado,https://www.solotodo.com/products/40597-in-win-303c-white
Cooler Master MasterCase H500 (MCM-H500-IGNN-S00),119.990,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/52856-cooler-master-mastercase-h500-mcm-h500-ignn-s00
Thermaltake View 31 Tempered Glass RGB Edition (CA-1H8-00M1WN-01),121.990,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/40695-thermaltake-view-31-tempered-glass-rgb-edition-ca-1h8-00m1wn-01
Corsair Carbide Series Clear 600C (CC-9011079-WW),118.900,Extended ATX,No posee,Superior,Acrílico,https://www.solotodo.com/products/36716-corsair-carbide-series-clear-600c-cc-9011079-ww
Cooler Master Storm Trooper (SGC-5000-KWN1),118.900,XL-ATX,No posee,Inferior,Aluminio (Cubierto),https://www.solotodo.com/products/28832-cooler-master-storm-trooper-sgc-5000-kwn1
Corsair Crystal Series 460X RGB - White (CC-9011129-WW),119.900,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/43413-corsair-crystal-series-460x-rgb-white-cc-9011129-ww
NZXT Phantom - Black (PHAN-001BK),119.900,Extended ATX,No posee,Inferior,Aluminio (Cubierto),https://www.solotodo.com/products/25504-nzxt-phantom-black-phan-001bk
Corsair Crystal Series 460X (CC-9011099-WW),124.990,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/31633-corsair-crystal-series-460x-cc-9011099-ww
Azza Storm 6000B (CSAZ-6000RGB/W/B),125.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/44688-azza-storm-6000b-csaz-6000rgbwb
Cougar Gemini T (106KMT0004-01),129.900,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/70400-cougar-gemini-t-106kmt0004-01
Corsair Crystal Series 280X RGB - White (CC-9011137-WW),129.990,Micro ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/53383-corsair-crystal-series-280x-rgb-white-cc-9011137-ww
DeepCool GamerStorm New Ark 90SE (DP-ATX-NARK90SE),129.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/62942-deepcool-gamerstorm-new-ark-90se-dp-atx-nark90se
Fractal Design Meshify S2 - White (FD-CA-MESH-S2-WT-TGC),129.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/65508-fractal-design-meshify-s2-white-fd-ca-mesh-s2-wt-tgc
Corsair Crystal Series 460X RGB (CC-9011101-WW),132.990,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/31634-corsair-crystal-series-460x-rgb-cc-9011101-ww
Thermaltake Level 10 GT (VN10001W2N),129.900,Extended ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/5549-thermaltake-level-10-gt-vn10001w2n
Cooler Master MasterCase H500P Mesh White (MCM-H500P-WGNN-S00),134.976,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/46282-cooler-master-mastercase-h500p-mesh-white-mcm-h500p-wgnn-s00
In Win 805 - Red,135.990,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/29764-in-win-805-red
Cooler Master MasterCase MC500Mt (MCM-M500T-RH5N-S00),139.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/45226-cooler-master-mastercase-mc500mt-mcm-m500t-rh5n-s00
Fractal Design Meshify S2 - Black (FD-CA-MESH-S2-BKO-TGL),139.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/65507-fractal-design-meshify-s2-black-fd-ca-mesh-s2-bko-tgl
Thermaltake Chaser MK-I (VN300M1W2N),139.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/5545-thermaltake-chaser-mk-i-vn300m1w2n
Cooler Master MasterCase H500P Mesh (MCM-H500P-MGNN-S10),148.900,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/65129-cooler-master-mastercase-h500p-mesh-mcm-h500p-mgnn-s10
Riotoro GPX-100 Morpheus,149.568,Extended ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/65064-riotoro-gpx-100-morpheus
Fractal Design Define R6 USB-C Tempered Glass White (FD-CA-DEF-R6C-WT-TGC),149.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/65509-fractal-design-define-r6-usb-c-tempered-glass-white-fd-ca-def-r6c-wt-tgc
Fractal Design Define R6 USB-C Tempered Glass Blackout (FD-CA-DEF-R6C-BKO-TGL),149.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/65484-fractal-design-define-r6-usb-c-tempered-glass-blackout-fd-ca-def-r6c-bko-tgl
Fractal Design Define R6 USB-C Tempered Glass Gunmetal (FD-CA-DEF-R6C-GY-TGL),149.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/65511-fractal-design-define-r6-usb-c-tempered-glass-gunmetal-fd-ca-def-r6c-gy-tgl
Gamdias Talos P1,159.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/60869-gamdias-talos-p1
Corsair Crystal Series 570X RGB (CC-9011098-WW),160.270,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/43415-corsair-crystal-series-570x-rgb-cc-9011098-ww
NZXT Phantom 630 - Glossy White (CA-P630W-W1),159.900,XL-ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/25491-nzxt-phantom-630-glossy-white-ca-p630w-w1
NZXT Phantom 630 - Black (CA-P630W-M1),159.900,XL-ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/25490-nzxt-phantom-630-black-ca-p630w-m1
DeepCool Gamer Storm Genome II,179.990,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/31204-deepcool-gamer-storm-genome-ii
ASUS TUF Gaming GT501 (90DC0012-B40000),179.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/60955-asus-tuf-gaming-gt501-90dc0012-b40000
Cooler Master MasterCase H500M (MCM-H500M-IHNN-S00),182.400,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/60909-cooler-master-mastercase-h500m-mcm-h500m-ihnn-s00
Cooler Master MasterCase SL600M (MCM-SL600M-SGNN-S00),184.290,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/60956-cooler-master-mastercase-sl600m-mcm-sl600m-sgnn-s00
Corsair Graphite Series 760T - Artic White (CC-9011074-WW),189.900,Extended ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/27257-corsair-graphite-series-760t-artic-white-cc-9011074-ww
In Win 805 Infinity,199.990,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/29967-in-win-805-infinity
Fractal Design Define S2 Vision RGB (FD-CA-DEF-S2V-RGB-BKO-TGD),199.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/65512-fractal-design-define-s2-vision-rgb-fd-ca-def-s2v-rgb-bko-tgd
Gamemax Hot Wheels,245.900,ATX,No posee,Lateral,Acrílico,https://www.solotodo.com/products/60677-gamemax-hot-wheels
Gamemax Hot Wheels (Silver),245.900,ATX,No posee,Lateral,Acrílico,https://www.solotodo.com/products/77130-gamemax-hot-wheels-silver
Cooler Master Cosmos C700P Black Edition (MCC-C700P-KG5N-S00),299.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/64589-cooler-master-cosmos-c700p-black-edition-mcc-c700p-kg5n-s00
ASUS ROG Strix Helios (90DC0020-B30000),307.440,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/67340-asus-rog-strix-helios-90dc0020-b30000
DeepCool GamerStorm Quadstellar (DP-EATX-QUADSTLR),339.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/51943-deepcool-gamerstorm-quadstellar-dp-eatx-quadstlr
Cooler Master Cosmos C700M (MCC-C700M-MG5N-S00),399.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/61298-cooler-master-cosmos-c700m-mcc-c700m-mg5n-s00
