Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,WDS500G2X0C,WD,Black NVMe PCIe M.2 500GB (2018),49,233,12145,https://ssd.userbenchmark.com/SpeedTest/485459/WDS500G2X0C-00L350
SSD,CSSD-F1920GBMP510,Corsair,Force NVMe PCIe M.2 2TB,50,230,739,https://ssd.userbenchmark.com/SpeedTest/633975/Force-MP510
SSD,MZ-V5P512BW,Samsung,950 NVMe PCIe M.2 512GB,51,229,35200,https://ssd.userbenchmark.com/SpeedTest/38554/NVMe-Samsung-SSD-950
SSD,ZP1000GM300,Seagate,FireCuda 510 NVMe PCIe M.2 1TB,52,229,167,https://ssd.userbenchmark.com/SpeedTest/819569/Seagate-FireCuda-510-SSD-ZP1000GM30001
SSD,2YY45AA#ABC,HP,EX920 NVMe PCIe M.2 256GB,53,229,760,https://ssd.userbenchmark.com/SpeedTest/537061/HP-SSD-EX920-256GB
SSD,SSDPEKKW512G8XT,Intel,760p Series NVMe PCIe M.2 512GB,54,227,4055,https://ssd.userbenchmark.com/SpeedTest/433786/INTEL-SSDPEKKW512G8
SSD,MZVLB512HAJQ,Samsung,PM981 NVMe PCIe M.2 512GB,55,227,27469,https://ssd.userbenchmark.com/SpeedTest/401452/SAMSUNG-MZVLB512HAJQ-000L2
SSD,,Samsung,PM961 NVMe PCIe M.2 1TB,56,225,3693,https://ssd.userbenchmark.com/SpeedTest/165378/NVMe-SAMSUNG-MZVLW1T0
SSD,ASX8200PNP-256GT-C,Adata,XPG SX8200 Pro NVMe PCIe M.2 256GB,57,220,10131,https://ssd.userbenchmark.com/SpeedTest/636955/ADATA-SX8200PNP
SSD,MZ-V6E500BW,Samsung,960 Evo NVMe PCIe M.2 500GB,58,219,99922,https://ssd.userbenchmark.com/SpeedTest/204072/Samsung-SSD-960-EVO-500GB
SSD,MKNSSDPL250GB-D8,Mushkin,Pilot NVMe PCIe M.2 250GB,59,216,405,https://ssd.userbenchmark.com/SpeedTest/515464/MKNSSDPL250GB-D8
SSD,ZP2000GM300,Seagate,FireCuda 510 NVMe PCIe M.2 2TB,60,215,127,https://ssd.userbenchmark.com/SpeedTest/827002/Seagate-FireCuda-510-SSD-ZP2000GM30001
SSD,SSDPE2MD400G401,Intel,DC P3700 Series NVMe PCIe 400GB,61,213,48,https://ssd.userbenchmark.com/SpeedTest/16595/NVMe-INTEL-SSDPEDMD40
SSD,SSDPEKNW010T8X1,Intel,660p NVMe PCIe M.2 1TB,62,211,39460,https://ssd.userbenchmark.com/SpeedTest/602553/INTEL-SSDPEKNW010T8
SSD,AGAMMIXS11-240GT-C,XPG,Gammix S11 NVMe PCIe M.2 240GB,63,210,1264,https://ssd.userbenchmark.com/SpeedTest/497242/XPG-GAMMIX-S11
SSD,CSSD-F480GBMP510,Corsair,Force NVMe PCIe M.2 480GB,64,207,8771,https://ssd.userbenchmark.com/SpeedTest/626885/Force-MP510
SSD,ASX6000PNP-1TT-C,Adata,XPG SX6000 Pro NVMe PCIe M.2 1TB,65,204,1110,https://ssd.userbenchmark.com/SpeedTest/664077/ADATA-SX6000PNP
SSD,MZ-V6E250BW,Samsung,960 Evo NVMe PCIe M.2 250GB,66,203,174625,https://ssd.userbenchmark.com/SpeedTest/200373/Samsung-SSD-960-EVO-250GB
SSD,MZ-V5P256BW,Samsung,950 NVMe PCIe M.2 256GB,67,203,27523,https://ssd.userbenchmark.com/SpeedTest/38570/NVMe-Samsung-SSD-950
