nombre,precio,tabla,z_link
"Intel Celeron G1820 (BX80646G1820),AMD A4-6300 (AD6300OKHLBOX),Intel Celeron G3930 (BX80677G3930),Intel Celeron G4900 (BX80684G4900),Intel Pentium G4500 (BX80662G4500),AMD A6-9500 (AD9500AGABBOX),AMD A6-7400K (AD740KYBJABOX),Intel Celeron G4920 (BX80684G4920),Intel Pentium G3250 (BX80646G3250),Intel Celeron G4930 (BX80684G4930),AMD Athlon 3000G (YD3000C6FHBOX),AMD Athlon 200GE (YD200GC6FBBOX)","$ 19.390,$ 34.990,$ 37.900,$ 38.179,$ 39.900,$ 42.900,$ 44.990,$ 46.074,$ 47.990,$ 48.520,$ 49.990,$ 55.091","2700 MHz,2,LGA 1150,2 x 256KB L2 / 2MB L3,Intel Haswell,3700 - 3900 MHz,2,FM2,1MB L2 / No posee L3,AMD Richland,2900 MHz,2,LGA 1151,2 x 256KB L2 / 2MB L3,Intel Kaby Lake,3100 MHz,2,LGA 1151-v2,2 x 256KB L2 / 2 x 1MB L3,Intel Coffee Lake S,3500 MHz,2,LGA 1151,2 x 256KB L2 / 3MB L3,Intel Skylake,3500 - 3800 MHz,2,AM4,1MB L2 / No posee L3,AMD Bristol Ridge,3500 - 3900 MHz,2,FM2+,1MB L2 / No posee L3,AMD Kaveri,3200 MHz,2,LGA 1151-v2,2 x 256KB L2 / 2 x 1MB L3,Intel Coffee Lake S,3200 MHz,2,LGA 1150,2 x 256KB L2 / 3MB L3,Intel Haswell,3200 MHz,2,LGA 1151-v2,2 x 256KB L2 / 2 x 1MB L3,Intel Coffee Lake S,3500 MHz,2,AM4,2 x 512KB L2 / 4MB L3,AMD Raven Ridge,3200 MHz,2,AM4,2 x 512KB L2 / 4MB L3,AMD Raven Ridge","https://www.solotodo.com/products/16307-intel-celeron-g1820-bx80646g1820,https://www.solotodo.com/products/14037-amd-a4-6300-ad6300okhlbox,https://www.solotodo.com/products/32459-intel-celeron-g3930-bx80677g3930,https://www.solotodo.com/products/53374-intel-celeron-g4900-bx80684g4900,https://www.solotodo.com/products/22502-intel-pentium-g4500-bx80662g4500,https://www.solotodo.com/products/41508-amd-a6-9500-ad9500agabbox,https://www.solotodo.com/products/17636-amd-a6-7400k-ad740kybjabox,https://www.solotodo.com/products/53375-intel-celeron-g4920-bx80684g4920,https://www.solotodo.com/products/18692-intel-pentium-g3250-bx80646g3250,https://www.solotodo.com/products/71724-intel-celeron-g4930-bx80684g4930,https://www.solotodo.com/products/70701-amd-athlon-3000g-yd3000c6fhbox,https://www.solotodo.com/products/52284-amd-athlon-200ge-yd200gc6fbbox"
"Intel Core i3-4170 (BX80646I34170),AMD A8-9600 (AD9600AGABBOX),Intel Pentium Gold G5400 (BX80684G5400),AMD Athlon 240GE (YD240GC6FBBOX),Intel Core 2 Duo E7500,Intel Core i3-9100F (BX80684I39100F),Intel Pentium Gold G5600 (BX80684G5600),AMD Ryzen 3 3200G (YD3200C5FHBOX),AMD Ryzen 3 2200G (YD2200C5FBBOX),Intel Core i3-7350K (BX80677I37350K),Intel Core i3-6100 (BX80662I36100),Intel Core i3-7100 (BX80677I37100)","$ 56.900,$ 55.900,$ 59.584,$ 60.791,$ 76.000,$ 82.890,$ 84.880,$ 99.000,$ 99.990,$ 107.990,$ 109.900,$ 120.990","3700 MHz,2,LGA 1150,2 x 256KB L2 / 3MB L3,Intel Haswell,3100 - 3400 MHz,4,AM4,2 x 1MB L2 / No posee L3,AMD Bristol Ridge,3700 MHz,2,LGA 1151-v2,2 x 256KB L2 / 4MB L3,Intel Coffee Lake S,3500 MHz,2,AM4,2 x 512KB L2 / 4MB L3,AMD Raven Ridge,2930 MHz,2,LGA 775,3MB L2 / No posee L3,Intel Wolfdale,3600 - 4200 MHz,4,LGA 1151-v2,4 x 256KB L2 / 6MB L3,Intel Coffee Lake R,3900 MHz,2,LGA 1151-v2,2 x 256KB L2 / 2 x 2MB L3,Intel Coffee Lake S,3600 - 4000 MHz,4,AM4,4 x 512KB L2 / 4MB L3,AMD Picasso,3500 - 3700 MHz,4,AM4,4 x 512KB L2 / 4MB L3,AMD Raven Ridge,4200 MHz,2,LGA 1151,2 x 256KB L2 / 4MB L3,Intel Kaby Lake,3700 MHz,2,LGA 1151,2 x 256KB L2 / 3MB L3,Intel Skylake,3900 MHz,2,LGA 1151,2 x 256KB L2 / 3MB L3,Intel Kaby Lake","https://www.solotodo.com/products/20199-intel-core-i3-4170-bx80646i34170,https://www.solotodo.com/products/41509-amd-a8-9600-ad9600agabbox,https://www.solotodo.com/products/49381-intel-pentium-gold-g5400-bx80684g5400,https://www.solotodo.com/products/56836-amd-athlon-240ge-yd240gc6fbbox,https://www.solotodo.com/products/1533-intel-core-2-duo-e7500,https://www.solotodo.com/products/61292-intel-core-i3-9100f-bx80684i39100f,https://www.solotodo.com/products/56834-intel-pentium-gold-g5600-bx80684g5600,https://www.solotodo.com/products/63489-amd-ryzen-3-3200g-yd3200c5fhbox,https://www.solotodo.com/products/42855-amd-ryzen-3-2200g-yd2200c5fbbox,https://www.solotodo.com/products/34900-intel-core-i3-7350k-bx80677i37350k,https://www.solotodo.com/products/22707-intel-core-i3-6100-bx80662i36100,https://www.solotodo.com/products/31368-intel-core-i3-7100-bx80677i37100"
"Intel Core i3-8100 (BX80684I38100),Intel Core i3-9100 (BX80684I39100),Intel Core i3-8300 (BX80684I38300),AMD Ryzen 5 2600 (YD2600BBAFBOX),AMD Ryzen 5 2400G (YD2400C5FBBOX),Intel Core i5-9400F (BX80684I59400F),AMD Ryzen 5 3400G (YD3400C5FHBOX),AMD Ryzen 5 2600X (YD260XBCAFBOX),Intel Core i5-6400 (BX80662I56400),Intel Core i5-7400 (BX80677I57400),AMD Ryzen 7 2700 (YD2700BBAFBOX),Intel Core i5-6600 (BX80662I56600)","$ 122.890,$ 125.900,$ 134.980,$ 136.500,$ 139.990,$ 155.400,$ 165.900,$ 166.990,$ 167.990,$ 179.900,$ 189.991,$ 184.900","3600 MHz,4,LGA 1151-v2,4 x 256KB L2 / 6MB L3,Intel Coffee Lake S,3600 - 4200 MHz,4,LGA 1151-v2,4 x 256KB L2 / 6MB L3,Intel Coffee Lake R,3700 MHz,4,LGA 1151-v2,4 x 256KB L2 / 8MB L3,Intel Coffee Lake S,3400 - 3900 MHz,6,AM4,6 x 512KB L2 / 16MB L3,AMD Pinnacle Ridge,3600 - 3900 MHz,4,AM4,4 x 512KB L2 / 4MB L3,AMD Raven Ridge,2900 - 4100 MHz,6,LGA 1151-v2,6 x 256KB L2 / 9MB L3,Intel Coffee Lake R,3700 - 4200 MHz,4,AM4,4 x 512KB L2 / 4MB L3,AMD Picasso,3600 - 4200 MHz,6,AM4,6 x 512KB L2 / 16MB L3,AMD Pinnacle Ridge,2700 - 3300 MHz,4,LGA 1151,4 x 256KB L2 / 6MB L3,Intel Skylake,3000 - 3500 MHz,4,LGA 1151,4 x 256KB L2 / 6MB L3,Intel Kaby Lake,3200 - 4100 MHz,8,AM4,8 x 512KB L2 / 2 x 8MB L3,AMD Pinnacle Ridge,3300 - 3900 MHz,4,LGA 1151,4 x 256KB L2 / 6MB L3,Intel Skylake","https://www.solotodo.com/products/40482-intel-core-i3-8100-bx80684i38100,https://www.solotodo.com/products/63828-intel-core-i3-9100-bx80684i39100,https://www.solotodo.com/products/47213-intel-core-i3-8300-bx80684i38300,https://www.solotodo.com/products/43659-amd-ryzen-5-2600-yd2600bbafbox,https://www.solotodo.com/products/42821-amd-ryzen-5-2400g-yd2400c5fbbox,https://www.solotodo.com/products/56956-intel-core-i5-9400f-bx80684i59400f,https://www.solotodo.com/products/63488-amd-ryzen-5-3400g-yd3400c5fhbox,https://www.solotodo.com/products/44382-amd-ryzen-5-2600x-yd260xbcafbox,https://www.solotodo.com/products/22117-intel-core-i5-6400-bx80662i56400,https://www.solotodo.com/products/31099-intel-core-i5-7400-bx80677i57400,https://www.solotodo.com/products/43104-amd-ryzen-7-2700-yd2700bbafbox,https://www.solotodo.com/products/22504-intel-core-i5-6600-bx80662i56600"
"Intel Core i5-8400 (BX80684I58400),AMD Ryzen 5 3600 (100-100000031BOX),Intel Core i5-7500 (BX80677I57500),Intel Core i5-6600K (BX80662I56600K),Intel Core i5-7600K (BX80677I57600K),Intel Core i5-9400 (BX80684I59400),AMD Ryzen 7 2700X (YD270XBGAFBOX),Intel Core i5-9600KF (BX80684I59600KF),Intel Core i5-8600K (BX80684I58600K),Intel Core i7-6700 (BX80662I76700),Intel Core i5-8500 (BX80684I58500),AMD Ryzen 5 3600X (100-100000022BOX)","$ 194.900,$ 195.500,$ 199.990,$ 199.900,$ 205.990,$ 214.990,$ 216.990,$ 219.990,$ 227.990,$ 229.900,$ 227.900,$ 235.900","2800 - 4000 MHz,6,LGA 1151-v2,6 x 256KB L2 / 9MB L3,Intel Coffee Lake S,3600 - 4200 MHz,6,AM4,6 x 512KB L2 / 2 x 16MB L3,AMD Matisse,3400 - 3800 MHz,4,LGA 1151,4 x 256KB L2 / 6MB L3,Intel Kaby Lake,3500 - 3900 MHz,4,LGA 1151,4 x 256KB L2 / 6MB L3,Intel Skylake,3800 - 4200 MHz,4,LGA 1151,4 x 256KB L2 / 6MB L3,Intel Kaby Lake,2900 - 4100 MHz,6,LGA 1151-v2,6 x 256KB L2 / 9MB L3,Intel Coffee Lake R,3700 - 4300 MHz,8,AM4,8 x 512KB L2 / 2 x 8MB L3,AMD Pinnacle Ridge,3700 - 4600 MHz,6,LGA 1151-v2,6 x 256KB L2 / 9MB L3,Intel Coffee Lake R,3600 - 4300 MHz,6,LGA 1151-v2,6 x 256KB L2 / 9MB L3,Intel Coffee Lake S,3400 - 4000 MHz,4,LGA 1151,4 x 256KB L2 / 8MB L3,Intel Skylake,3000 - 4100 MHz,6,LGA 1151-v2,6 x 256KB L2 / 9MB L3,Intel Coffee Lake S,3800 - 4400 MHz,6,AM4,6 x 512KB L2 / 2 x 16MB L3,AMD Matisse","https://www.solotodo.com/products/41181-intel-core-i5-8400-bx80684i58400,https://www.solotodo.com/products/63490-amd-ryzen-5-3600-100-100000031box,https://www.solotodo.com/products/31100-intel-core-i5-7500-bx80677i57500,https://www.solotodo.com/products/21230-intel-core-i5-6600k-bx80662i56600k,https://www.solotodo.com/products/31224-intel-core-i5-7600k-bx80677i57600k,https://www.solotodo.com/products/62229-intel-core-i5-9400-bx80684i59400,https://www.solotodo.com/products/43660-amd-ryzen-7-2700x-yd270xbgafbox,https://www.solotodo.com/products/61825-intel-core-i5-9600kf-bx80684i59600kf,https://www.solotodo.com/products/40159-intel-core-i5-8600k-bx80684i58600k,https://www.solotodo.com/products/23453-intel-core-i7-6700-bx80662i76700,https://www.solotodo.com/products/44671-intel-core-i5-8500-bx80684i58500,https://www.solotodo.com/products/63524-amd-ryzen-5-3600x-100-100000022box"
"Intel Core i5-9600K (BX80684I59600K),Intel Core i7-8700 (BX80684I78700),AMD Ryzen 7 3700X (100-100000071BOX),Intel Core i7-9700F (BX80684I79700F),Intel Core i7-7700 (BX80677I77700),AMD Ryzen 7 3800X (100-100000025BOX),Intel Core i7-9700 (BX80684I79700),Intel Core i7-8700K (BX80684I78700K),Intel Core i7-9700KF (BX80684I79700KF),Intel Core i7-9700K (BX80684I79700K),Intel Core i9-9900K (BX80684I99900K),Intel Core i9-9900KF (BX80684I99900KF)","$ 259.900,$ 300.000,$ 336.900,$ 349.990,$ 368.990,$ 378.000,$ 379.990,$ 378.900,$ 419.990,$ 435.900,$ 493.991,$ 499.990","3700 - 4600 MHz,6,LGA 1151-v2,6 x 256KB L2 / 9MB L3,Intel Coffee Lake R,3200 - 4600 MHz,6,LGA 1151-v2,6 x 256KB L2 / 12MB L3,Intel Coffee Lake S,3600 - 4400 MHz,8,AM4,8 x 512KB L2 / 2 x 16MB L3,AMD Matisse,3000 - 4700 MHz,8,LGA 1151-v2,8 x 256KB L2 / 8 x 2MB L3,Intel Coffee Lake R,3600 - 4200 MHz,4,LGA 1151,4 x 256KB L2 / 8MB L3,Intel Kaby Lake,3900 - 4500 MHz,8,AM4,8 x 512KB L2 / 2 x 16MB L3,AMD Matisse,3000 MHz,8,LGA 1151-v2,8 x 256KB L2 / 8 x 2MB L3,Intel Coffee Lake R,3700 - 4700 MHz,6,LGA 1151-v2,6 x 256KB L2 / 12MB L3,Intel Coffee Lake S,3600 - 4900 MHz,8,LGA 1151-v2,8 x 256KB L2 / 8 x 2MB L3,Intel Coffee Lake R,3600 - 4900 MHz,8,LGA 1151-v2,8 x 256KB L2 / 8 x 2MB L3,Intel Coffee Lake R,3600 - 5000 MHz,8,LGA 1151-v2,8 x 256KB L2 / 8 x 2MB L3,Intel Coffee Lake R,3600 - 5000 MHz,8,LGA 1151-v2,8 x 256KB L2 / 8 x 2MB L3,Intel Coffee Lake R","https://www.solotodo.com/products/52283-intel-core-i5-9600k-bx80684i59600k,https://www.solotodo.com/products/40542-intel-core-i7-8700-bx80684i78700,https://www.solotodo.com/products/63564-amd-ryzen-7-3700x-100-100000071box,https://www.solotodo.com/products/67133-intel-core-i7-9700f-bx80684i79700f,https://www.solotodo.com/products/31102-intel-core-i7-7700-bx80677i77700,https://www.solotodo.com/products/64470-amd-ryzen-7-3800x-100-100000025box,https://www.solotodo.com/products/63925-intel-core-i7-9700-bx80684i79700,https://www.solotodo.com/products/40543-intel-core-i7-8700k-bx80684i78700k,https://www.solotodo.com/products/66943-intel-core-i7-9700kf-bx80684i79700kf,https://www.solotodo.com/products/52787-intel-core-i7-9700k-bx80684i79700k,https://www.solotodo.com/products/52663-intel-core-i9-9900k-bx80684i99900k,https://www.solotodo.com/products/62646-intel-core-i9-9900kf-bx80684i99900kf"
"AMD Ryzen 9 3900X (100-100000023BOX),Intel Core i9-9900KS (BX80684I99900KSS),AMD Ryzen Threadripper 2950X (YD295XA8AFWOF),Intel Core i9-9900X (BX80673I99900X),AMD Ryzen 9 3950X (100-100000051WOF),Intel Core i9-7920X (BX80673I97920X),Intel Core i9-7940X (BX80673I97940X),AMD Ryzen Threadripper 3960X (100-100000010WOF),Intel Core i9-7960X (BX80673I97960X),Intel Core i9-9960X (BX80673I99960X)","$ 586.990,$ 599.990,$ 769.990,$ 798.912,$ 869.990,$ 1.299.990,$ 1.499.990,$ 1.549.990,$ 1.799.990,$ 1.899.990","3800 - 4600 MHz,12,AM4,12 x 512KB L2 / 4 x 16MB L3,AMD Matisse,4000 - 5000 MHz,8,LGA 1151-v2,8 x 256KB L2 / 8 x 2MB L3,Intel Coffee Lake R,3500 - 4400 MHz,16,TR4,16 x 512KB L2 / 32MB L3,AMD Colfax,3500 - 4400 MHz,10,LGA 2066,10 x 1MB L2 / 14 x 1MB L3,Intel Skylake-X,3500 - 4700 MHz,16,AM4,16 x 512KB L2 / 4 x 16MB L3,AMD Matisse,2900 - 4400 MHz,12,LGA 2066,12 x 1MB L2 / 17MB L3,Intel Skylake-X,3100 - 4400 MHz,14,LGA 2066,14 x 1MB L2 / 19MB L3,Intel Skylake-X,3800 - 4500 MHz,24,sTRX4,24 x 512KB L2 / 8 x 16MB L3,AMD Castle Peak,2800 - 4400 MHz,16,LGA 2066,16 x 1MB L2 / 22MB L3,Intel Skylake-X,3100 - 4400 MHz,16,LGA 2066,16 x 1MB L2 / 16 x 1MB L3,Intel Skylake-X","https://www.solotodo.com/products/64117-amd-ryzen-9-3900x-100-100000023box,https://www.solotodo.com/products/69932-intel-core-i9-9900ks-bx80684i99900kss,https://www.solotodo.com/products/51729-amd-ryzen-threadripper-2950x-yd295xa8afwof,https://www.solotodo.com/products/65127-intel-core-i9-9900x-bx80673i99900x,https://www.solotodo.com/products/72391-amd-ryzen-9-3950x-100-100000051wof,https://www.solotodo.com/products/43727-intel-core-i9-7920x-bx80673i97920x,https://www.solotodo.com/products/44591-intel-core-i9-7940x-bx80673i97940x,https://www.solotodo.com/products/71720-amd-ryzen-threadripper-3960x-100-100000010wof,https://www.solotodo.com/products/43728-intel-core-i9-7960x-bx80673i97960x,https://www.solotodo.com/products/71559-intel-core-i9-9960x-bx80673i99960x"
